title,ingredients_raw,ingredients_processed,instructions,language,heat_processed,cuisine_tags,vegan,vegetarian,processing_error
Spicy Maple Glazed Salmon for Two!,"['2 - 6 oz wild salmon filets (12 oz total)', '1 tablespoon pure maple syrup', '1 tablespoon reduced sodium soy sauce', '1 teaspoon dijon mustard', '1 teaspoon chili powder', '¼ teaspoon cayenne pepper', '1 garlic clove, minced']","[{""ingredient"": ""wild salmon filets"", ""heat_processed"": true}, {""ingredient"": ""maple syrup"", ""heat_processed"": true}, {""ingredient"": ""reduced sodium soy sauce"", ""heat_processed"": true}, {""ingredient"": ""dijon mustard"", ""heat_processed"": true}, {""ingredient"": ""chili powder"", ""heat_processed"": true}, {""ingredient"": ""cayenne pepper"", ""heat_processed"": true}, {""ingredient"": ""garlic"", ""heat_processed"": true}]","Preheat oven to 350 degrees F. Line a small baking sheet with parchment paper to prevent the glaze from burning. Place salmon filets 2 inches apart on parchment paper.
In a small bowl, whisk together maple syrup, soy sauce, dijon mustard, chili powder, cayenne pepper and garlic. Pour or generously brush the glaze over the salmon, reserving 1 tablespoon for glazing once salmon is done. Bake for 15-20 minutes or until salmon is done and flakes with a fork. For every inch of salmon filet thickness, you’ll need to bake for 15 minutes. Usually 18 minutes is perfect for me.
Once salmon is done baking, remove from oven and pour remaining glaze on top. Enjoy! Serves 2.",en,True,"[""American"", ""Japanese"", ""Asian""]",False,False,
Easy Roasted Strawberry Goat Cheese Crostini,"['4 to 5 ounces goat cheese', '1 pound strawberries, hulled and cut into bite-size pieces', '2 tablespoons honey', '2 tablespoons extra-virgin olive oil', '1 whole-grain baguette or small loaf of crusty whole-grain bread (about 14 ounces), cut into ½-inch slices', 'Small handful of fresh basil leaves, torn into little pieces', 'Freshly ground black pepper']","[{""ingredient"": ""goat cheese"", ""heat_processed"": true}, {""ingredient"": ""strawberries"", ""heat_processed"": true}, {""ingredientesch"": ""honey"", ""heat_processed"": false}, {""ingredient"": ""extra-virgin olive oil"", ""heat_processed"": true}, {""ingredient"": ""baguette or whole-grain bread"", ""heat_processed"": true}, {""ingredient"": ""fresh basil leaves"", ""heat_processed"": false}, {""ingredient"": ""freshly ground black pepper"", ""heat_processed"": false}]","Preheat the oven to 350 degrees F with racks in the middle and upper third of the oven. Line two large rimmed baking sheets with parchment paper for easier cleanup. Set the goat cheese on the counter to soften up a bit.
On one baking sheet, toss the strawberries with the honey, then spread the strawberries into a single layer. Bake on the upper rack until the fruit is tender, juicy, and collapses on itself, 20 to 25 minutes, tossing halfway. Watch the fruit on the edges of the pan, as the honey can burn quickly.
Meanwhile, on the remaining baking sheet, brush the olive oil lightly over both sides of each slice of bread. Bake on the middle rack until the toasts are golden on top, 10 to 12 minutes.
Once the toasts are cool enough to safely handle, top each one with a smear of goat cheese, followed by a spoonful of roasted strawberries and their juices. Finish off the crostini with a sprinkling of torn basil and black pepper. Crostini are best served immediately.",en,True,"[""Italian"", ""French"", ""Mediterranean""]",False,True,
Peanut Butter Oatmeal Cookie Shake (with sneaky veggies!),"['For the date smoothie:', '3 pitted Medjool dates (about ¼ cup packed pitted Medjool dates)', '1 cup unsweetened almond milk (or dairy free milk of choice), plus more to thin smoothie as necessary', '1 cup frozen cauliflower', '¼ cup oats', '1 ½ tablespoons peanut butter (or 2 tablespoons peanut butter powder)', '½ teaspoon vanilla extract', '¼ teaspoon cinnamon', 'Pinch of salt (if your PB isn’t salted)', 'Optional smoothie add-ins:', '1 tablespoon cacao powder', '1 scoop your favorite protein powder', '1 tablespoon flaxseed meal', '1 cup spinach']","[{""ingredient"": ""pitted Medjool dates"", ""heat_processed"": true}, {""ingredient"": ""unsweetened almond milk"", ""heat_processed"": false}, {""ingredient"": ""frozen cauliflower"", ""heat_processed"": true}, {""ingredient"": ""oats"", ""heat_processed"": false}, {""ingredient"": ""peanut butter"", ""heat_processed"": false}, {""ingredient"": ""vanilla extract"", ""heat_processed"": false}, {""ingredient"": ""cinnamon"", ""heat_processed"": false}, {""ingredient"": ""cacao powder"", ""heat_processed"": false}, {""ingredient"": ""protein powder"", ""heat_processed"": false}, {""ingredient"": ""flaxseed meal"", ""heat_processed"": false}, {""ingredient"": ""spinach"", ""heat_processed"": false}]","First soak your pitted dates in 1 cup of very warm water for at least 5 minutes. This will help them soften up and perfect for blending. While the dates are soaking you can get all your other ingredients out, measured and ready.
Next add all ingredients to a high powered blender: pitted dates, almond milk, cauliflower, oats, peanut butter, vanilla extract and cinnamon. Feel free to add any optional add-ins to your smoothie if you’d like. Blend until smooth, adding more almond milk to thin, if necessary. Pour into a glass and enjoy! Serves 1. Feel free to double the recipe to serve 2.",en,True,"[""Healthy/Nutritious"", ""Western"", ""Fusion""]",False,True,
No Knead Honey Oat Artisan Bread,"['Dry ingredients:', '3 ¼ cups (390g) bread flour', '½ cup (48g) rolled oats (or use a hot cereal blend such as Bob’s Red Mill 5-grain hot cereal)', '2 ½ teaspoons rapid rise yeast (also known as quick rise yeast)', '⅓ cup roasted sunflower seeds or pumpkin seeds (or a mix of both!)', '2 tablespoons flax seeds (not flaxseed meal)', '1 teaspoon salt', 'Wet ingredients:', '1 cup (240g) water', '½ cup (120g) milk of choice (I use dairy free milk)', '⅓ cup (112g) honey', '1 tablespoon olive oil', 'Additional:', 'A few tablespoons extra flour for shaping', '1 tablespoons sunflower or pumpkin seeds for on top of bread']","[{""ingredient"": ""bread flour"", ""heat_processed"": true}, {""ingredient"": ""rolled oats"", ""heat_processed"": false}, {""ingredient"": ""rapid rise yeast"", ""heat_processed"": false}, {""ingredient"": ""roasted sunflower seeds"", ""heat_processed"": false}, {""ingredient"": ""flax seeds"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""water"", ""heat_processed"": false}, {""ingredient"": ""milk of choice"", ""heat_processed"": false}, {""ingredient"": ""honey"", ""heat_processed"": false}, {""ingredient"": ""olive oil"", ""heat_processed"": false}, {""ingredient"": ""extra flour"", ""heat_processed"": false}, {""ingredient"": ""sunflower or pumpkin seeds"", ""heat_processed"": false}]","In a large bowl, whisk together the flour, oats, yeast, sunflower seeds, flax seeds and salt.
In a microwaveable bowl, add water and milk and heat up for 1 minute until slightly warmer than bath water or approximately 115 degrees F. Stir the honey and olive oil into the water/milk mixture once warm. Add wet ingredients to the dry ingredients and mix with a wooden spoon until just incorporated, do not over mix.
Cover with plastic wrap and let stand at room temperature for 2 hours or until doubled in size.
After the dough has risen, place it on a well-floured surface and sprinkle it with a little flour. Using a scraper (or your hands is fine), fold dough over about 8-10 times and then flip over and shape into a ball. Place dough in a parchment paper-lined large bowl and cover with a warm towel. Allow the dough to rest again for about 45 minutes to an hour.
Right around the 30 minute mark of your dough resting, place a 4 to 6-quart Dutch oven with lid on in the cold oven and preheat to 425 degrees F and allow the pot to heat up in the oven for 20 minutes. Once the oven has preheated all the way, remove the pot from the oven and immediately add the parchment paper with the dough to the hot pot (be careful as you do this!). Sprinkle with 1 tablespoon extra sunflower seeds or pumpkin seeds, then cover with the lid and bake for 25 minutes.
After 25 minutes, remove the lid from the pot and return to the oven, uncovered. Bake for 10-15 more minutes until bread is nice and golden on top to your liking. Allow bread to cool for an hour before slicing. Makes 1 loaf, about 12 slices. This bread is great when toasted and served with butter and a little salt. I love it for dipping in soups and making sandwiches too!",en,True,"[""French"", ""Italian"", ""American""]",False,True,
Best Bakery Style Blueberry Muffins,"['For the topping:', '½ cup (60g) all purpose flour', '½ teaspoon cinnamon', '⅓ cup (71g) packed brown sugar', '3 tablespoons (42g) butter, melted', 'For the wet ingredients:', '½ cup (113g) butter', '1 cup (200g) sugar', '2 large eggs, at room temperature', '½ cup (120g) milk (any milk should work here)', '½ tablespoon vanilla extract', '½ teaspoon almond extract', 'Dry ingredients:', '2 cups (240g) all purpose flour', '2 teaspoon baking powder', '¼ teaspoon salt', 'For the mix in:', '2 cups (300g) fresh or frozen blueberries*', '2 tablespoons (15g) all purpose flour']","[{""ingredient"": ""all purpose flour"", ""heat_processed"": true}, {""ingredient"": ""cinnamon"", ""heat_processed"": false}, {""ingredient"": ""brown sugar"", ""heat_processed"": false}, {""ingredient"": ""butter"", ""heat_processed"": true}, {""ingredient"": ""sugar"", ""heat_processed"": false}, {""ingredient"": ""eggs"", ""heat_processed"": false}, {""ingredient"": ""milk"", ""heat_processed"": false}, {""ingredient"": ""vanilla extract"", ""heat_processed"": false}, {""ingredient"": ""almond extract"", ""heat_processed"": false}, {""ingredient"": ""all purpose flour"", ""heat_processed"": true}, {""ingredient"": ""baking powder"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""blueberries"", ""heat_processed"": false}, {""ingredient"": ""all purpose flour"", ""heat_processed"": true}]","Preheat the oven to 400 degrees F. Line a 12 cup muffin pan with liners and spray them with cooking spray.
Brown your butter: add ½ cup butter to a large saucepan and place over medium heat. The butter will begin to crackle, and then eventually foam. Make sure you whisk constantly during this process. After a couple of minutes, the butter will begin to brown and turn a nice golden amber color on the bottom of the saucepan. Continue to whisk and remove from heat as soon as the butter begins to brown and give off a nutty aroma. Immediately transfer the butter to a medium bowl to prevent burning, making sure you scrape all the brown butter bits from the bottom of the pan. Set aside to cool for 10 minutes or until cool enough to touch.
While the brown butter cools, make the topping: in a medium bowl, mix together the flour, cinnamon and brown sugar. Add in the melted butter and stir together with a fork until it begins to form into crumbles and resembles pea-sized clumps. You may need to use your hands/fingers to form into nice crumbles. Cover the bowl with plastic wrap and place in the fridge until ready to use.
In a large bowl, whisk together flour, baking powder and salt. Set aside.
In a separate large bowl, beat together the brown butter and sugar. Slowly add in eggs, one at a time. (It’s very important your eggs are at room temperature here, so be sure to run them under warm water for 1-2 minutes until no longer cold.) Next add in your milk, vanilla, and almond extract, mixing until the wet ingredients are smooth and well combined. Slowly add in dry ingredients, mixing with a wooden spoon until just combined. Do not overmix.
Add blueberries and 2 tablespoons of flour to a medium bowl and stir to coat the blueberries with flour. This is so the blueberries do not fall to the bottom of the muffins when baking. Gently fold blueberries into the muffin batter.
Divide batter evenly between the prepared muffin pan. Sprinkle the topping on top. Bake for 23-28 minutes or until the tester comes out of the middle clean. Allow muffins to cool for 5 minutes in the pan before removing. Makes 12 muffins.",en,True,"[""American"", ""French""]",False,True,
Enchiladas Stuffed With Beans and Tartare Dip Recipe,"['6 Whole Wheat Flour Tortilla, (about 5 to 6 inches in diameter)', '1/2 cup Rajma (Large Kidney Beans), cooked and drained', '3 tablespoons Del Monte Tartare Dip', '1 Onion, chopped', '1 Tomato, chopped', 'Coriander (Dhania) Leaves, handful, chopped', '2 Garlic, minced', '1 teaspoon Cumin powder (Jeera)', '1 teaspoon Dried oregano', '1/2 teaspoon Red Chilli powder', '1 tablespoon All Purpose Flour (Maida)', '5 Tomatoes, blanched, peeled and crushed', '1/2 teaspoon Lemon juice', '2 teaspoons Extra Virgin Olive Oil', '2 tablespoons Cheese, shredded (cheddar or Mexican cheese)', '1 Spring Onion Greens, for garnish (optional)']","[{""ingredient"": ""Whole Wheat Flour Tortilla"", ""heat_processed"": true}, {""ingredient"": ""Rajma"", ""heat_processed"": true}, {""ingredient"": ""Onion"", ""heat_processed"": true}, {""ingredient"": ""Tomato"", ""heat_processed"": true}, {""ingredient"": ""Coriander Leaves"", ""heat_processed"": false}, {""ingredient"": ""Garlic"", ""heat_processed"": false}, {""ingredient"": ""Cumin powder"", ""heat_processed"": false}, {""ingredient"": ""Dried oregano"", ""heat_processed"": false}, {""ingredient"": ""Red Chilli powder"", ""heat_processed"": false}, {""ingredient"": ""All Purpose Flour"", ""heat_processed"": false}, {""ingredient"": ""Extra Virgin Olive Oil"", ""heat_processed"": false}, {""ingredient"": ""Cheese"", ""heat_processed"": false}, {""ingredient"": ""Spring Onion Greens"", ""heat_processed"": false}]","To begin making the Bean and Tartare Dip Enchiladas first make the sauce. Heat oil in a saucepan.
Add half of the chopped onion, garlic and sauté for a few seconds. Add the flour and sauté for a few seconds more.
Add the crushed tomatoes and whisk so that lumps do not form. Add little water if required to make a thick sauce.
Add the cumin powder, chilli powder, oregano and salt. Cook for 3 to 4 minutes. Take off the heat and keep side till required.
In a small bowl mix the leftover onion, chopped tomatoes, coriander, beans and Del Monte Tartare dip. Pre-heat the oven to 200 degree Celsius.
Lightly grease a 1L square or rectangle baking dish and spread a large ladleful of the sauce over the base.
Warm the tortillas.Place about 2 tablespoon of the filling along the centre of each tortilla. Roll tightly. Place the tortillas snugly in the baking dish.
Spread sauce over the rolled tortillas such that it covers the top. Sprinkle the cheese on top of the sauce.
Bake for about 15 minutes, till the cheese melts and the sauce bubbles. Take out of the oven and serve Bean and Tartare Dip Enchiladas immediately.
Serve Bean And Tartare Dip Enchiladas along with Baked Mexican Rice for a weekend night dinner.",en,True,"[""Mexican"", ""Indian"", ""Fusion""]",False,False,
Sukhi Urad Dal Sabzi Recipe,"['1 cup White Urad Dal (Whole)', '1/4 cup Water', '1 Onion, chopped', '1 inch Ginger, finely chopped', '1 Green Chilli, finely chopped', '1 teaspoon Cumin seeds (Jeera)', '1/4 teaspoon SSP Asafoetida (Hing)', '1/2 teaspoon Turmeric powder (Haldi)', '1/2 teaspoon Coriander Powder (Dhania)', '1/2 teaspoon Garam masala powder', 'Salt, to taste', '1 teaspoon Ghee', '1 Lemon, juice', 'Coriander (Dhania) Leaves, a few, roughly chopped to garnish']","[{""ingredient"": ""White Urad Dal (Whole)"", ""heat_processed"": true}, {""ingredient"": ""Water"", ""heat_processed"": false}, {""ingredient"": ""Onion"", ""heat_processed"": true}, {""ingredient"": ""Ginger"", ""heat_processed"": true}, {""ingredient"": ""Green Chilli"", ""heat_processed"": true}, {""ingredient"": ""Cumin seeds (Jeera)"", ""heat_processed"": true}, {""ingredient"": ""SSP Asafoetida (Hing)"", ""heat_processed"": true}, {""ingredient"": ""Turmeric powder (Haldi)"", ""heat_processed"": true}, {""ingredient"": ""Coriander Powder (Dhania)"", ""heat_processed"": true}, {""ingredient"": ""Garam masala powder"", ""heat_processed"": true}, {""ingredient"": ""Ghee"", ""heat_processed"": true}, {""ingredient"": ""Lemon"", ""heat_processed"": false}, {""ingredient"": ""Coriander (Dhania) Leaves"", ""heat_processed"": false}]","To begin making the Sukhi Urad Dal Sabzi Recipe, first clean the urad dal and thoroughly rinse it with water. Let the dal soak in enough water for at least 4-5 hours. Once soaked, drain the water.
Keep a pressure cooker with little water in it on heat. Place the drained Urad Dal into the steamer pan of the pressure cooker. Add water to the urad dal and pressure cook for three whistles. Turn off the heat. Let the pressure release naturally.
After the pressure has released we will make the Sukhi Urad Dal Sabzi Recipe
Into a preheat pan add ghee. Once the ghee is hot add the cumin seeds and asafoetida and let the cumin seeds crackle.
Once done add the onion, ginger and green chilli and saute till onions turn soft and translucent.
After the onions are soft add the cooked urad dal, turmeric powder, salt to taste, garam masala powder, coriander powder and stir well to combine. Taste and adjust the seasoning accordingly. Cover and cook for 3 to 4 minutes until the dal fluffs up a little bit more.
Once done turn off the heat and mix in the juice of one lemon. Stir in the coriander leaves and transfer the Sukhi Urad Dal Recipe into a serving bowl and serve hot.
Serve Sukhi Urad Dal Recipe with Phulkas, No Onion And No Garlic Aloo Gajar Matar Ki Sabzi Recipe and Lauki Raita Recipe for lunch or dinner.",en,True,"[""Indian"", ""Indo-Caribbean"", ""Indian""]",False,True,
Mangalorean Padengi Gassi Recipe - Green Moong Dal Curry,"['1 cup Green Moong Dal (Whole), sprouted', '1 Onion, finely chopped', '2 Tomatoes, finely chopped', '1/2 teaspoon Turmeric powder (Haldi)', 'Salt, to taste', '1 cup Tamarind Water', '1 cup Fresh coconut, grated', '4 Dry Red Chillies', '2 teaspoons Coriander (Dhania) Seeds', '1/2 teaspoon Cumin seeds (Jeera)', '1 teaspoon Mustard seeds (Rai/ Kadugu)', '1 teaspoon White Urad Dal (Split)', '4 cloves Garlic', '2 Dry Red Chillies', '1 sprig Curry leaves']","[{""ingredient"": ""Green Moong Dal (Whole), sprouted"", ""heat_processed"": true}, {""ingredient"": ""Onion, finely chopped"", ""heat_processed"": true}, {""ingredient"": ""Tomatoes, finely chopped"", ""heat_processed"": true}, {""ingredient"": ""Turmeric powder (Haldi)"", ""heat_processed"": true}, {""ingredient"": ""Salt"", ""heat_processed"": true}, {""ingredient"": ""Tamarind Water"", ""heat_processed"": false}, {""ingredient"": ""Fresh coconut, grated"", ""heat_processed"": false}, {""ingredient"": ""Dry Red Chillies"", ""heat_processed"": false}, {""ingredient"": ""Coriander (Dhania) Seeds"", ""heat_processed"": false}, {""ingredient"": ""Cumin seeds (Jeera)"", ""heat_processed"": false}, {""ingredient"": ""White Urad Dal (Split)"", ""heat_processed"": false}, {""ingredient"": ""Garlic"", ""heat_processed"": false}, {""ingredient"": ""Dry Red Chillies"", ""heat_processed"": false}, {""ingredient"": ""Curry leaves"", ""heat_processed"": false}]","To begin making the Mangalorean Padengi Gassi Recipe; do make sure you have some sprouts ready. Click to see how to make sprouts at home.
Add the green moong sprouts, chopped onions and tomatoes into the pressure cooker. Add the turmeric powder, salt, and 2-1/2 cups of water and mix everything well.
Cover the pressure cooker, place the weight on and cook until two whistles. After two whistles, turn the heat to low and simmer the green moong for about 5 minutes. Turn off the heat.
Allow the cooker to release its pressure naturally. The Moong will continue to cook, as long as there is pressure in the cooker.
*Method to make the Gassi Masala
While the pressure is releasing; we will go ahead and make the gassi curry paste.
Place a small pan on medium heat; dry roast the red chilies, coriander seeds and cumin seeds until you smell the aromas coming out. You don’t have to brown them too much. Once done, switch off the gas and let it cool down.
Add the roasted condiments, along with the coconut to the blender. Add 1/4 cup of warm water and blend into a smooth gassi paste.
*Making the Padengi Gassi
Once the pressure is released from the pressure cooker; add the ground gassi masala to the cooked Sprouted Moong dal. Stir well to combine. Check the salt and spice levels and adjust to suit your taste.
Place the pressure cooker on medium heat and start simmering the Padengi Gassi.
While the Padengi Gassi is simmering, we will make the seasoning.
In the same small pan where you dry roasted the chiles; heat a tablespoon of oil on medium heat. Add the mustard seeds, urad dal, red chilies and allow them to roast and crackle. Allow the dal to turn golden brown.
Once it's ready; add the garlic cloves and curry leaves. Stir-fry for a few seconds until you can smell the aromas of garlic and pour the seasoning into the simmering Padengi Gassi (Green Moong Dal Gassi)
Serve the Mangalorean Padengi Gassi Recipe/ Green Moong Dal Gassi along with Kadalai Manoli, Ghee Rice and Butter Milk to make a delicious lunch or dinner for your family.",en,True,"[""Indian"", ""South Indian""]",True,True,
Cheese And Olive Spaghetti Recipe,"['1/4 cup Black olives', '1/4 cup Green olives', '2 tablespoons Capers, drained well', '400 grams Durum Wheat Spaghetti Pasta', '1/2 teaspoon Red Chilli flakes', '2 tablespoons Garlic, finely chopped', 'Salt, to taste', 'Black pepper powder, to taste', 'Extra Virgin Olive Oil, to cook', '250 grams Feta Cheese, crumbled', '150 grams Parmesan cheese, grated', '4 sprig Basil leaves, chopped']","[{""ingredient"": ""Black olives"", ""heat_processed"": false}, {""ingredient"": ""Green olives"", ""heat_processed"": false}, {""ingredient"": ""Capers, drained well"", ""heat_processed"": false}, {""ingredient"": ""Durum Wheat Spaghetti Pasta"", ""heat_processed"": true}, {""ingredient"": ""Red Chilli flakes"", ""heat_processed"": false}, {""ingredient"": ""Garlic, finely chopped"", ""heat_processed"": true}, {""ingredient"": ""Salt"", ""heat_processed"": false}, {""ingredient"": ""Black pepper powder"", ""heat_processed"": false}, {""ingredient"": ""Extra Virgin Olive Oil"", ""heat_processed"": true}, {""ingredient"": ""Feta Cheese, crumbled"", ""heat_processed"": false}, {""ingredient"": ""Parmesan cheese, grated"", ""heat_processed"": false}, {""ingredient"": ""Basil leaves, chopped"", ""heat_processed"": false}]","To prepare cheese and olive spaghetti pasta, cook the spaghetti as per instructions on packet, in a large pot, al dente. Drain.
Heat the olive oil in a wok/kadai, add garlic and cook for a minute.
Add the chili flakes and stir for about ten seconds.
Immediately toss in the pasta and all the ingredients except the cheese and basil leaves. Mix well together for a minute or two.
Take off the fire and put into a serving dish.
Drizzle a bit of olive oil over the pasta.
Add crumbled feta cheese and grated parmesan cheese over the pasta. Add the basil leaves and stir through the cheese and olive spaghetti pasta.
Serve hot with fresh Insalata Caprese Salad and rosemary focaccia bread for a weeknight dinner.",en,True,"[""Italian"", ""Mediterranean"", ""Western""]",False,True,
Mangalorean Style Kuvalyacho Pollav Recipe (Yellow Pumpkin Curry Recipe),"['250 grams Kaddu (Parangikai/ Pumpkin)', '1 Onion, sliced', '1/2 teaspoon Turmeric powder (Haldi)', '1/2 teaspoon Coriander Powder (Dhania)', 'Salt, to taste', 'Water, as required', '1 Onion, sliced', '1/4 cup Fresh coconut, grated', '1 tablespoon Ajwain (Carom seeds)', '1/2 teaspoon Mustard seeds (Rai/ Kadugu)', '1 tablespoon Coriander (Dhania) Seeds', '18 grams Tamarind', '3 Dry Red Chillies']","[{""ingredient"": ""Kaddu (Pumpkin)"", ""heat_processed"": true}, {""ingredient"": ""Onion, sliced"", ""heat_processed"": true}, {""ingredient"": ""Turmeric powder (Haldi)"", ""heat_processed"": false}, {""ingredient"": ""Coriander Powder (Dhania)"", ""heat_processed"": false}, {""ingredient"": ""Salt"", ""heat_processed"": false}, {""ingredient"": ""Water"", ""heat_processed"": false}, {""ingredient"": ""Fresh coconut, grated"", ""heat_processed"": true}, {""ingredient"": ""Ajwain (Carom seeds)"", ""heat_processed"": false}, {""ingredient"": ""Mustard seeds (Rai/ Kadugu)"", ""heat_processed"": false}, {""ingredient"": ""Coriander (Dhania) Seeds"", ""heat_processed"": false}, {""ingredient"": ""Tamarind"", ""heat_processed"": false}, {""ingredient"": ""Dry Red Chillies"", ""heat_processed"": false}]","We begin making the Mangalorean Style Kuvalyacho Pollav Recipe (Yellow Pumpkin Curry Recipe) by crackling the mustard seeds, jeera seeds, coriander seeds and then add the sauteed onions. Saute till it is translucent and then add the grated coconut.
Saute till it is golden brown. Leave it to cool down and then grind it into a coarse mixture by adding some water if required.
Heat a pressure cooker, add some oil, saute the sliced onions and add the chopped pumpkin and finally add in the ground paste. Add some extra water around 1 cup and mix well.
Add in the spice powder and check for salt. Once that is done, pressure cook for about 4 whistle and release the pressure naturally and serve.
Serve the Mangalorean Style Kuvalyacho Pollav Recipe (Yellow Pumpkin Curry Recipe) along with some steamed rice or phulka.",en,True,"[""Indian"", ""South Indian"", ""Goan""]",True,True,
