title,ingredients_raw,ingredients_processed,instructions,language,heat_processed,cuisine_tags,vegan,vegetarian,processing_error
Easy Buffalo Sauce,"['4 Tbsp butter ($0.40)', ""1/2 cup Frank's Redhot Sauce ($1.26)"", '1 tsp Worcestershire sauce ($0.02)', '1/2 tsp garlic powder ($0.05)']","[{""ingredient"": ""butter"", ""heat_processed"": true}, {""ingredient"": ""Frank's Redhot Sauce"", ""heat_processed"": true}, {""ingredient"": ""Worcestershire sauce"", ""heat_processed"": true}, {""ingredient"": ""garlic powder"", ""heat_processed"": true}]","Melt the butter in a small saucepot over medium heat, then add the remaining ingredients (hot sauce, Worcestershire, garlic powder).
Whisk the ingredients together and heat through. Serve hot or refrigerate until ready to use.",en,True,"[""American"", ""Fusion""]",False,False,
Honey Mustard Sauce,"['1/2 cup mayonnaise ($0.80)', '1 Tbsp Dijon mustard ($0.09)', '1 Tbsp yellow mustard ($0.09)', '3 Tbsp honey ($0.36)', '1 tsp apple cider vinegar ($0.02)', '1/8 tsp garlic powder ($0.02)', '1/8 tsp paprika ($0.02)', '1/8 tsp salt ($0.02)', 'freshly cracked pepper (about 5 cranks of a pepper mill) ($0.02)']","[{""ingredient"": ""mayonnaise"", ""heat_processed"": false}, {""ingredient"": ""Dijon mustard"", ""heat_processed"": false}, {""ingredient"": ""yellow mustard"", ""heat_processed"": false}, {""ingredient"": ""honey"", ""heat_processed"": false}, {""ingredient"": ""apple cider vinegar"", ""heat_processed"": false}, {""ingredient"": ""garlic powder"", ""heat_processed"": false}, {""ingredient"": ""paprika"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""freshly cracked pepper"", ""heat_processed"": false}]",Combine all the ingredients in a bowl and stir until smooth. Use immediately or refrigerate until ready to use.,en,False,"[""American"", ""Western"", ""Fusion""]",False,True,
5 Minute Nacho Cheese Sauce,"['2 Tbsp butter ($0.28)', '2 Tbsp flour ($0.02)', '1 cup whole milk ($0.19)', '6 oz. medium cheddar, shredded (about 1.5 cups) ($2.25)', '1/4 tsp salt ($0.02)', '1/4 tsp chili powder ($0.02)']","[{""ingredient"": ""butter"", ""heat_processed"": true}, {""ingredient"": ""flour"", ""heat_processed"": true}, {""ingredient"": ""whole milk"", ""heat_processed"": true}, {""ingredient"": ""cheddar, shredded"", ""heat_processed"": true}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""chili powder"", ""heat_processed"": false}]","Add the butter and flour to a small sauce pot. Heat and whisk the butter and flour together until they become bubbly and foamy. Continue to cook and whisk the bubbly mixture for about 60 seconds.
Whisk the milk into the flour and butter mixture. Turn the heat up slightly and allow the milk to come to a simmer while whisking. When it reaches a simmer, the mixture will thicken. Once it's thick enough to coat a spoon, turn off the heat.
Stir in the shredded cheddar, one handful at a time, until melted into the sauce. If needed, place the pot over a low flame to help the cheese melt. Do not overheat the cheese sauce.
Once all the cheese is melted into the sauce, stir in the salt and chili powder. Taste and adjust the seasoning as needed. If the sauce becomes too thick, simply whisk in an additional splash of milk.",en,True,"[""French"", ""American"", ""Canadian""]",False,True,
Steak Marinade Recipe,"['⅓ cup olive oil ($1.10)', '2 Tbsp soy sauce ($0.10)', '1 Tbsp Worcestershire sauce ($0.15)', '1 garlic clove, minced ($0.04)', '1 tsp dried rosemary ($0.10)', '1 tsp dried thyme ($0.10)', '½ tsp salt ($0.02)', '½ tsp freshly cracked black pepper ($0.08)', '2 Tbsp balsamic vinegar ($0.30)']","[{""ingredient"": ""oil"", ""heat_processed"": true}, {""ingredient"": ""soy sauce"", ""heat_processed"": false}, {""ingredient"": ""Worcestershire sauce"", ""heat_processed"": false}, {""ingredient"": ""garlic"", ""heat_processed"": false}, {""ingredient"": ""rosemary"", ""heat_processed"": false}, {""ingredient"": ""thyme"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""black pepper"", ""heat_processed"": false}, {""ingredient"": ""balsamic vinegar"", ""heat_processed"": false}]","Mix
Add all of the ingredients to a small bowl and whisk until evenly combined. Use immediately or store it in an airtight jar in the refrigerator for up to 3 days.
Rub
If you are using it immediately, place your steaks in a large plastic storage bag and pour the marinade directly on top. Seal the bag, then rub the marinade all around the steaks.
Marinate in the refrigerator for a minimum of 30 minutes or up to 24 hours. Make sure to always discard any excess used marinade.",en,False,"[""Italian"", ""Fusion"", ""Western""]",False,False,
Homemade Pizza Sauce,"['2 Tbsp olive oil ($0.44)', '1 clove garlic, minced ($0.04)', '1 28 oz. can crushed tomatoes ($1.67)', '1 6 oz. can tomato paste ($0.94)', '1/2 Tbsp sugar ($0.01)', '3/4 tsp salt ($0.03)', '1 tsp dried basil ($0.10)', '1/2 tsp dried oregano ($0.05)', 'Freshly cracked black pepper ($0.08)', '1 pinch crushed red pepper (optional) ($0.05)']","[{""ingredient"": ""olive oil"", ""heat_processed"": true}, {""ingredient"": ""garlic"", ""heat_processed"": true}, {""ingredient"": ""crushed tomatoes"", ""heat_processed"": true}, {""ingredient"": ""tomato paste"", ""heat_processed"": true}, {""ingredient"": ""sugar"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""dried basil"", ""heat_processed"": false}, {""ingredient"": ""dried oregano"", ""heat_processed"": false}, {""ingredient"": ""freshly cracked black pepper"", ""heat_processed"": false}, {""ingredient"": ""crushed red pepper"", ""heat_processed"": false}]","Add the olive oil and garlic to a sauce pot and cook over medium heat for 1-2 minutes, or just until the garlic is soft and fragrant.
Add the crushed tomatoes, tomato paste, sugar, salt, basil, oregano, some freshly cracked pepper (10-15 cranks of a pepper mill), and a pinch of red pepper flakes. Stir to combine.
Cover the pot, allow the pot to come to a simmer, then reduce the heat to low, and let simmer for 15 minutes minimum, or up to 30 minutes (I often let it simmer as I prepare my pizza dough).",en,True,"[""Italian"", ""Mediterranean"", ""American""]",True,True,
Slow Cooker Meatball Subs,"['1/2 cup breadcrumbs ($0.32)', '1/2 cup grated Parmesan ($0.88)', '1/2 tsp garlic powder ($0.05)', '1/2 tsp onion powder ($0.05)', '1/2 tsp Italian seasoning ($0.05)', '1/4 tsp salt ($0.02)', '1/4 tsp pepper ($0.02)', '2 large eggs ($0.39)', '1/4 cup milk ($0.05)', '1 lb. Italian sausage ($4.99)', '1 lb. lean ground beef (90% lean or higher) ($6.99)', '1 24oz. jar marinara ($1.50)', '8 buns or rolls ($3.50)', '1/2 cup shredded mozzarella ($0.62)']","[{""ingredient"": ""breadcrumbs"", ""heat_processed"": true}, {""ingredient"": ""grated Parmesan"", ""heat_processed"": true}, {""ingredient"": ""garlic powder"", ""heat_processed"": true}, {""ingredient"": ""onion powder"", ""heat_processed"": true}, {""ingredient"": ""Italian seasoning"", ""heat_processed"": true}, {""ingredient"": ""salt"", ""heat_processed"": true}, {""ingredient"": ""pepper"", ""heat_processed"": true}, {""ingredient"": ""eggs"", ""heat_processed"": true}, {""ingredient"": ""milk"", ""heat_processed"": true}, {""ingredient"": ""Italian sausage"", ""heat_processed"": true}, {""ingredient"": ""lean ground beef"", ""heat_processed"": true}, {""ingredient"": ""marinara sauce"", ""heat_processed"": true}, {""ingredient"": ""buns"", ""heat_processed"": true}, {""ingredient"": ""mozzarella"", ""heat_processed"": true}]","Lightly whisk two large eggs in a small bowl. In a separate small bowl, combine the breadcrumbs, Parmesan, garlic powder, onion powder, Italian seasoning, salt, and pepper.
Add the Italian sausage and ground beef to a large bowl with the whisked egg, breadcrumb mixture, and milk Use your hands to mix the ingredients together. Avoid overmixing the meat.
Divide and shape the meat into 24 meatballs, about 3 Tbps each. The easiest way to do this is to first divide the meat mixture into four equal portions, then divide each of those in half to make eight equal portions. Finally, divide each of the 8 portions of meat into thirds and shape them into balls to make 24 meatballs.
Place half of the meatballs in the bottom of a slow cooker in a single layer and cover with half of the marinara sauce. Add the rest of the meatballs then top with the remaining sauce.
Cook the meatballs on high for three hours or low for six hours.
After cooking, use a meat thermometer to make sure the internal temperature of the meatballs has reached 165°F. Give the meatballs and sauce a good stir to remix the sauce (there will be some fat pooling on the surface).
Preheat the oven to 350°F. Place the buns on a baking sheet or in a baking dish, then pile three meatballs into each bun. Spoon some of the extra sauce over each one. Top each sub with a little shredded cheese.
Bake the meatball subs in the preheated oven for about 5 minutes, or until the cheese is melted and the edges of the buns are toasty. Enjoy hot!",en,True,"[""Italian"", ""American"", ""Fusion""]",False,False,
Slow Cooker Spaghetti Sauce,"['1 yellow onion ($0.32)', '4 cloves garlic ($0.32)', '2 28oz. cans crushed tomatoes ($2.00)', '1 6oz. can tomato paste ($0.69)', '1 Tbsp dried basil ($0.30)', '1.5 tsp dried oregano ($0.15)', '1 Tbsp brown sugar ($0.03)', '1 Tbsp balsamic vinegar ($0.14)', '4 Tbsp butter ($0.40)', '1 tsp salt (or to taste) ($0.05)']","[{""ingredient"": ""yellow onion"", ""heat_processed"": true}, {""ingredient"": ""garlic"", ""heat_processed"": true}, {""ingredient"": ""crushed tomatoes"", ""heat_processed"": true}, {""ingredient"": ""tomato paste"", ""heat_processed"": true}, {""ingredient"": ""dried basil"", ""heat_processed"": false}, {""ingredient"": ""dried oregano"", ""heat_processed"": false}, {""ingredient"": ""brown sugar"", ""heat_processed"": false}, {""ingredient"": ""balsamic vinegar"", ""heat_processed"": false}, {""ingredient"": ""butter"", ""heat_processed"": true}, {""ingredient"": ""salt"", ""heat_processed"": false}]","Dice the onion and mince the garlic. Place both in a 3 quart or larger slow cooker.
Add the crushed tomatoes, tomato paste, basil, oregano, brown sugar, balsamic vinegar, and butter to the slow cooker. Stir everything together well.
Place the lid on the slow cooker and cook on high for four hours or low for eight hours.
After cooking, give it a good stir, then add salt to taste. Start with just ½ tsp of salt and add more if needed (I added 1 tsp). Use the sauce immediately, refrigerate, or freeze for later.",en,True,"[""Italian"", ""American"", ""Fusion""]",False,True,
Slow Cooker Chicken Noodle Soup,"['1 yellow onion ($0.32)', '3 cloves garlic ($0.24)', '1/2 lb. carrots (about 4 medium) ($0.30)', '4 ribs celery ($0.43)', '2 split chicken breasts* (2-2.5 lbs. total) ($6.30)', '1 tsp dried basil ($0.10)', '1 Tbsp dried parsley ($0.30)', '1/2 tsp dried thyme ($0.05)', '1 bay leaf ($0.15)', '1/4 tsp freshly cracked black pepper ($0.05)', '8 cups water ($0.00)', '6 oz. wide egg noodles ($0.68)', '1 Tbsp salt (or to taste) ($0.10)', '1/4 cup chopped fresh parsley (optional) ($0.20)']","[{""ingredient"": ""yellow onion"", ""heat_processed"": true}, {""ingredient"": ""garlic"", ""heat_processed"": true}, {""ingredient"": ""carrots"", ""heat_processed"": true}, {""ingredient"": ""celery"", ""heat_processed"": true}, {""ingredient"": ""split chicken breasts"", ""heat_processed"": true}, {""ingredient"": ""dried basil"", ""heat_processed"": false}, {""ingredient"": ""dried parsley"", ""heat_processed"": false}, {""ingredient"": ""dried thyme"", ""heat_processed"": false}, {""ingredient"": ""bay leaf"", ""heat_processed"": false}, {""ingredient"": ""freshly cracked black pepper"", ""heat_processed"": false}, {""ingredient"": ""water"", ""heat_processed"": false}, {""ingredient"": ""wide egg noodles"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""chopped fresh parsley"", ""heat_processed"": false}]","Dice the onion, mince the garlic, peel and slice the carrots, and slice the celery. Add the onion, garlic, carrots, and celery to a 6 quart slow cooker or crock pot.
Remove the skin from the bone-in split chicken breasts, then place them on top of the vegetables in the slow cooker. Add the basil, parsley, thyme, bay leaf, and pepper to the slow cooker.
Pour 8 cups of water over the ingredients in the slow cooker. Place the lid on the slow cooker and cook on high for 4 hours or low for 8 hours.
After cooking on high for 4 hours or low for 8 hours, carefully remove the chicken to a cutting board and discard the bay leaf. Add the egg noodles to the slow cooker, stir to combine, and replace the lid, with the heat turned on to high.
Use two forks to remove the chicken meat from the bones, shredding the meat as you go. Return the meat to the slow cooker and stir to combine with the soup. The noodles should be tender after about 8-10 minutes of being in the soup (this may take a few minutes longer if the slow cooker was previously set to low).
Once the chicken has been returned to the soup and the noodles are tender, begin seasoning the soup with salt. The true flavor of the soup will not be pronounced until it is properly salted. Start with 1 tsp salt, adding more until the soup is bold and flavorful. I use about 1 Tbsp (3 tsp). Finally, stir in a handful of chopped parsley for garnish just before serving.",en,True,"[""Italian"", ""American"", ""Fusion""]",False,False,
Slow Cooker Vegetarian Lentil Chili,"['1 yellow onion ($0.33)', '2 cloves garlic ($0.16)', '1 15oz. can petite diced tomatoes (with juices) ($0.48)', '1 6oz. can tomato paste ($0.48)', '1 15oz. can black beans, drained ($0.59)', '1 15oz. can kidney beans, drained ($0.59)', '1 cup brown lentils, uncooked ($0.70)', '1 Tbsp chili powder ($0.30)', '1 tsp smoked paprika ($0.10)', '1 tsp ground cumin ($0.10)', '1/2 tsp onion powder ($0.05)', '1/4 tsp garlic powder ($0.03)', '1/4 tsp cayenne pepper ($0.03)', '1/2 tsp salt ($0.02)', 'freshly cracked black pepper ($0.03)', '2 Tbsp coconut oil* ($0.13)', '4 cups vegetable broth ($0.52)']","[{""ingredient"": ""yellow onion"", ""heat_processed"": true}, {""ingredient"": ""garlic"", ""heat_processed"": true}, {""ingredient"": ""petite diced tomatoes"", ""heat_processed"": true}, {""ingredient"": ""tomato paste"", ""heat_processed"": true}, {""ingredient"": ""black beans"", ""heat_processed"": true}, {""ingredient"": ""kidney beans"", ""heat_processed"": true}, {""ingredient"": ""brown lentils"", ""heat_processed"": true}, {""ingredient"": ""chili powder"", ""heat_processed"": true}, {""ingredient"": ""smoked paprika"", ""heat_processed"": true}, {""ingredient"": ""ground cumin"", ""heat_processed"": true}, {""ingredient"": ""onion powder"", ""heat_processed"": true}, {""ingredient"": ""garlic powder"", ""heat_processed"": true}, {""ingredient"": ""cayenne pepper"", ""heat_processed"": true}, {""ingredient"": ""salt"", ""heat_processed"": true}, {""ingredient"": ""black pepper"", ""heat_processed"": true}, {""ingredient"": ""coconut oil"", ""heat_processed"": true}, {""ingredient"": ""vegetable broth"", ""heat_processed"": true}]","Dice the onion and mince the garlic. Add the onion and garlic to the slow cooker along with all the other ingredients and stir to combine.
Place a lid on the slow cooker and cook on high for four hours (or low for 8 hours). After cooking, the lentils should be tender. Taste the chili and add salt to taste, if needed (this will depend on the salt content of your broth).
Serve the chili hot, with your favorite toppings.",en,True,"[""Mexican"", ""Indigenous"", ""Fusion""]",False,False,
Slow Cooker Buffalo Chicken,"['2 Tbsp buttermilk powder ($0.15)', '1/2 tsp dried parsley ($0.05)', '1/4 tsp dried dill ($0.03)', '1/4 tsp onion powder ($0.02)', '1/8 tsp garlic powder ($0.02)', '1/4 tsp lemon pepper ($0.02)', '1/8 tsp sugar ($0.01)', '1/8 tsp salt ($0.01)', '1/8 tsp freshly cracked black pepper ($0.01)', '12 oz. hot sauce** ($2.19)', '2 lbs. boneless, skinless chicken breasts ($5.34)', '4 Tbsp butter ($0.40)']","[{""ingredient"": ""buttermilk powder"", ""heat_processed"": false}, {""ingredient"": ""parsley"", ""heat_processed"": false}, {""ingredient"": ""dried dill"", ""heat_processed"": false}, {""ingredient"": ""onion powder"", ""heat_processed"": false}, {""ingredient"": ""garlic powder"", ""heat_processed"": false}, {""ingredient"": ""lemon pepper"", ""heat_processed"": false}, {""ingredient"": ""sugar"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""freshly cracked black pepper"", ""heat_processed"": false}, {""ingredient"": ""hot sauce"", ""heat_processed"": false}, {""ingredient"": ""boneless, skinless chicken breasts"", ""heat_processed"": true}, {""ingredient"": ""butter"", ""heat_processed"": true}]","Combine the ranch seasoning (buttermilk powder, parsley, dill, onion powder, garlic powder, lemon pepper, sugar, salt, and pepper) and hot sauce in a bowl.
Place the chicken breasts in the bottom of a 3 quart or larger slow cooker. Cut the butter into chunks and place the butter on top of the chicken. Pour the hot sauce mixture over the chicken and butter.
Place the lid on the slow cooker and cook on low heat for four hours. After four hours, use two forks to shred the chicken (if it's not tender enough to shred yet, let it cook a little longer).
Serve the shredded chicken and sauce on sandwiches, in quesadillas, on top of nachos or salads, or as a dip for crackers and chips.",en,True,"[""American"", ""Southern"", ""Tex-Mex""]",False,False,
