title,ingredients_raw,ingredients_processed,instructions,language,heat_processed,cuisine_tags,vegan,vegetarian,processing_error
How to cook mackerel,"['2 whole mackerel, about 300-400g each', '2 tbsp of extra virgin olive oil', '1 lemon, sliced', '2 garlic cloves, minced', 'salt and pepper to taste', '1 handful of fresh parsley']","[{""ingredient"": ""whole mackerel"", ""heat_processed"": true}, {""ingredient"": ""extra virgin olive oil"", ""heat_processed"": true}, {""ingredient"": ""lemon"", ""heat_processed"": true}, {""ingredient"": ""garlic"", ""heat_processed"": true}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""pepper"", ""heat_processed"": false}, {""ingredient"": ""fresh parsley"", ""heat_processed"": false}]","Preheat your grill to medium-high heat. Rinse the mackerel under cold water and pat dry with paper towels. Season the inside of each fish with salt, pepper, and minced garlic. Place a few lemon slices and herbs inside each cavity
Brush the outside of the mackerel with olive oil and season with salt and pepper
Place the mackerel on the grill. Grill for about 4-5 minutes per side, or until the skin is crispy and the flesh flakes easily with a fork
Remove from the grill and serve",en,True,"[""Seafood"", ""Mediterranean"", ""Grilled""]",False,False,
How to cook beetroot,"['400g of beetroot, raw, washed, tops and roots trimmed', '1 orange', '200g of Greek yoghurt', '2 tbsp of sunflower seeds', '1 tbsp of olive oil, plus extra for roasting beetroot', '2 tsp vinegar', '1 tsp maple syrup', '1/4 Dijon mustard', 'salt, as needed', 'freshly ground black pepper']","[{""ingredient"": ""beetroot"", ""heat_processed"": true}, {""ingredient"": ""olive oil"", ""heat_processed"": true}, {""ingredient"": ""orange"", ""heat_processed"": false}, {""ingredient"": ""Greek yoghurt"", ""heat_processed"": false}, {""ingredient"": ""sunflower seeds"", ""heat_processed"": false}, {""ingredient"": ""vinegar"", ""heat_processed"": false}, {""ingredient"": ""maple syrup"", ""heat_processed"": false}, {""ingredient"": ""Dijon mustard"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""black pepper"", ""heat_processed"": false}]","Preheat the oven to 220°C/200°C fan
Place the trimmed beetroot in the middle of a large piece of foil on top of a baking tray. Drizzle generously with olive oil and sprinkle over some salt
Seal the beetroot in the foil tightly and then roast the beetroot in the oven. Small beets (~100g) will take 50–60 minutes, medium beets (~200g) will take 70–80 minutes and large beets (~300g) will take around 90 minutes
To check if the beets are done, open up the foil and pierce them with a butter knife or chopstick. Once cooked they should be soft enough to pierce all the way through. If your beets are different sizes, take smaller ones out as they cook
Either set the beetroot aside until cool enough to handle, or place them in a bowl of water to cool them down faster
Once cool, trim the root and stem end and peel away the skin with your hands. Running the beetroots under cold water as you peel them can help get rid of any wispy bits of skin
To make the salad, chop the peeled beetroots into roughly 2 cm chunks
Zest 1 tsp of orange zest from the orange, and stir into the yoghurt with a pinch of salt. Taste and add more zest and salt if needed
Cut away the skin from the orange and then cut the orange flesh into pieces roughly the same size as the beetroot
Whisk together all the ingredients for the dressing, and season to taste
Mix together the dressing, beetroot, sunflower seeds and orange pieces
Divide the yoghurt between two plates and top with the orange and beetroot mixture",en,True,"[""Mediterranean"", ""Fusion""]",True,True,
How to cook red cabbage,"['400g of red cabbage, thinly sliced with a sharp knife', '15g of fresh coriander, finely chopped, or a mixture of coriander and mint', '1 chilli, finely chopped, optional', '50g of spring onions, about 3, thinly sliced', '3 tbsp of olive oil', '2 tbsp of lime juice, plus more to taste', '3/4 tsp table salt, plus more to taste', 'freshly ground black pepper, to taste']","[{""ingredient"": ""red cabbage"", ""heat_processed"": false}, {""ingredient"": ""fresh coriander"", ""heat_processed"": false}, {""ingredient"": ""fresh coriander and mint"", ""heat_processed"": false}, {""ingredient"": ""chilli"", ""heat_processed"": false}, {""ingredient"": ""spring onions"", ""heat_processed"": false}, {""ingredient"": ""olive oil"", ""heat_processed"": false}, {""ingredient"": ""lime juice"", ""heat_processed"": false}, {""ingredient"": ""table salt"", ""heat_processed"": false}, {""ingredient"": ""black pepper"", ""heat_processed"": false}]","Add the cabbage, herbs, chilli and spring onion to a large bowl
Whisk the olive oil, lime juice and salt together and season with a few good grindings of black pepper
Pour the dressing over the salad and mix to combine. Taste the salad and adjust the amount of lime and salt to taste – we added an extra 1/2 tablespoon of lime juice and an extra pinch of salt
You can serve this straight away, but ideally let it sit for at least 30 minutes. This will allow the cabbage to soften and wilt down slightly, as the salt draws out its moisture
Leftovers will keep for around 5 days in the fridge. The slaw will soften slightly as time goes on, but will retain its crunch",en,False,"[""Fusion cuisines"", ""Island cuisines"", ""Regional cuisines""]",True,True,
How to make macarons,"['For the macarons', '300g of ground almonds', '300g of icing sugar', '220g of egg white', '280g of caster sugar', '55ml of water', 'For the buttercream', '100g of egg white', '180g of caster sugar', '60ml of water', '200g of butter, softened']","[{""ingredient"": ""ground almonds"", ""heat_processed"": false}, {""ingredient"": ""icing sugar"", ""heat_processed"": false}, {""ingredient"": ""egg white"", ""heat_processed"": true}, {""ingredient"": ""caster sugar"", ""heat_processed"": true}, {""ingredient"": ""water"", ""heat_processed"": true}, {""ingredient"": ""butter"", ""heat_processed"": true}]","Place the ground almonds, icing sugar and half the egg whites in a stand mixer and mix together to form a smooth paste. Remove from the bowl and set aside. Clean the mixing bowl and paddle thoroughly
Place the remaining egg whites in the clean bowl and begin to whisk on low speed
Place the caster sugar and water in a pan and heat gently to dissolve the sugar. Once dissolved, increase the heat and use a sugar thermometer to monitor the temperature of the sugar syrup. When the temperature of the sugar syrup has reached 105˚C, increase the mixer speed to high and add the remaining 20g of caster sugar to the egg whites to help stabilise the meringue
Once the sugar syrup has reached 118°C (soft ball stage), reduce the mixer speed to medium and gently pour the hot liquid into the egg whites in a slow, steady stream. Increase the mixer speed to high and mix for 1 minute. If colour is required, reduce the speed to low, add the desired food colouring and whisk until combined, or until the meringue has cooled to blood temperature and is thick and glossy
Fold one third of the meringue into the almond mixture with a spatula and mix carefully until incorporated
Repeat with another third of the mixture and when incorporated, fold in the remaining meringue and mix until smooth and shiny
Pour the mixture into a piping bag fitted with a plain 10mm nozzle and pipe 45mm rounds on to baking trays lined with silicone baking paper. Leave to rest at room temperature for 30 minutes so that a dry skin forms on the top of the macarons
While the macarons are resting, pre-heat the oven to 130°C/gas mark ½. Place the baking trays in the oven for 17–18 minutes until the macarons are easily peeled off the paper. Allow to cool completely before filling and decorating
For the buttercream, pour the egg whites into a mixing bowl and mix on a medium speed
Place the caster sugar and water in a pan and heat gently to melt the sugar. Once melted, increase the heat and use a thermometer to monitor the temperature of the sugar syrup
When the temperature of the sugar syrup reaches 118°C, gently pour the hot liquid into the whisking egg whites in a slow, steady stream. Increase the speed to high and continue to mix until the meringue has cooled to blood temperature
Add the soft butter a little at a time and continue to whisk until smooth and fluffy
Add any flavouring and colouring required and use the mixture to sandwich 2 macaron shells together",en,True,"[""French"", ""French"", ""French""]",False,True,
How to make sweet pastry (pâte sucrée),"['250g of unsalted butter', '175g of icing sugar, sieved', '2 eggs', '400g of plain flour', '1 pinch of salt']","[{""ingredient"": ""unsalted butter"", ""heat_processed"": true}, {""ingredient"": ""icing sugar"", ""heat_processed"": false}, {""ingredient"": ""eggs"", ""heat_processed"": false}, {""ingredient"": ""plain flour"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}]","Cream together the butter and sugar with an electric mixer very lightly – do not overmix, or you will add too much air to the pastry
Gradually add the eggs, mixing well between each addition. Make sure you scrape down the sides of the bowl so that all the ingredients are uniformly mixed
Turn off the mixer and add the flour and salt. Mix on a low speed until the flour is incorporated
Turn the dough out onto a work surface and shape into a rough disc. Wrap tightly in cling film and rest in the fridge for at least 30 minutes before rolling out",en,False,"[""French"", ""European"", ""Western""]",False,True,
How to pickle asparagus,"['1 bunch of asparagus', '200ml of water', '200ml of white wine vinegar', '200ml of caster sugar', '1 pinch of salt']","[{""ingredient"": ""asparagus"", ""heat_processed"": true}, {""ingredient"": ""water"", ""heat_processed"": false}, {""ingredient"": ""white wine vinegar"", ""heat_processed"": true}, {""ingredient"": ""caster sugar"", ""heat_processed"": true}, {""ingredient"": ""salt"", ""heat_processed"": false}]","Wash the asparagus, snap off the woody bottoms then slice in half down the length of the spears
In a saucepan, combine the vinegar, water, sugar and salt. Bring to a simmer, until the sugar and salt has dissolved
Remove the pickling liquid from the heat, add the asparagus and cover with cling film
Pickle for at least 1 hour – the longer you leave it submerged, the stronger the flavour will be
Discard the liquid and store the asparagus in the fridge until needed",en,True,"[""French"", ""Italian"", ""European""]",True,True,
How to pickle mackerel,"['70ml of white wine vinegar', '30ml of water', '30g of sugar', '5g of salt', '4 mackerel fillets, pinboned']","[{""ingredient"": ""white wine vinegar"", ""heat_processed"": true}, {""ingredient"": ""water"", ""heat_processed"": true}, {""ingredient"": ""sugar"", ""heat_processed"": true}, {""ingredient"": ""salt"", ""heat_processed"": true}, {""ingredient"": ""mackerel fillets"", ""heat_processed"": true}]","Mix the white wine vinegar, water, sugar and salt in a saucepan and place over a medium heat
Bring to the boil then remove the pan from the heat and allow to cool to room temperature
Place the fillets flesh-side down in a single layer in a dish and cover with the pickling liquid
Refrigerate for 1 hour then remove the mackerel and pat dry. When removed from the pickling liquid, the mackerel can be kept in the fridge for up to 2 days.",en,True,"[""French"", ""Seafood"", ""Provence""]",False,False,
How to pickle gooseberries,"['200g of gooseberries', '150ml of white wine vinegar', '25g of caster sugar']","[{""ingredient"": ""gooseberries"", ""heat_processed"": false}, {""ingredient"": ""white wine vinegar"", ""heat_processed"": true}, {""ingredient"": ""caster sugar"", ""heat_processed"": true}]","Wash the gooseberries and top and tail them before placing in sterilised jars
Bring the vinegar and sugar to the boil then leave to cool slightly
Pour the pickling liquid over the gooseberries and seal the jars while still warm
Leave to pickle for at least one week but ideally for one month",en,True,"[""Fusion cuisines"", ""Island cuisines""]",False,False,
How to pickle cucumber,"['1 cucumber', '200ml of white wine vinegar', '200ml of water', '50g of sugar', '1 tsp sea salt']","[{""ingredient"": ""cucumber"", ""heat_processed"": false}, {""ingredient"": ""white wine vinegar"", ""heat_processed"": true}, {""ingredient"": ""water"", ""heat_processed"": false}, {""ingredient"": ""sugar"", ""heat_processed"": true}, {""ingredient"": ""sea salt"", ""heat_processed"": false}]","Thinly slice the cucumber to a thickness of 2 mm
Combine the sliced cucumber and salt in a bowl, toss well then leave to stand for 30 minutes
Dissolve the sugar in the vinegar and water by warming slightly then leave to cool
Drain off the liquid and brush off any excess salt from the cucumbers, then transfer to a bowl or jar and cover with the sugar and vinegar solution
Cover and transfer to the fridge for at least three hours before serving, preferably overnight",en,True,"[""French"", ""Italian"", ""Mediterranean""]",True,True,
How to pickle red cabbage,"['300g of red cabbage, shredded', '80g of salt', '550ml of malt vinegar', '250g of caster sugar', '1 cinnamon stick', '1 tsp cloves', '1 tsp coriander seeds']","[{""ingredient"": ""red cabbage, shredded"", ""heat_processed"": false}, {""ingredient"": ""malt vinegar"", ""heat_processed"": true}, {""ingredient"": ""caster sugar"", ""heat_processed"": true}, {""ingredient"": ""cinnamon stick"", ""heat_processed"": true}, {""ingredient"": ""cloves"", ""heat_processed"": true}, {""ingredient"": ""coriander seeds"", ""heat_processed"": true}]","Put the cabbage in a colander and rub with the salt. Leave to drain for 2 hours
Heat the vinegar, sugar and spices in a large saucepan over a medium heat, stirring regularly to help dissolve the sugar
Once dissolved, remove the pan from the heat and set aside to infuse for 5-10 minutes
Wash the salt off the cabbage and dry with kitchen paper, then put the cabbage into a sterilised jar (or more than one if needed)
Pour the pickling liquor over the cabbage, ensuring that the leaves are fully submerged
Seal the jar and set aside to cool and then store in the fridge for 2 days to allow the flavours to infuse before eating",en,True,"[""French"", ""German"", ""Scandinavian""]",True,True,
