title,ingredients_raw,ingredients_processed,instructions,language,heat_processed,cuisine_tags,vegan,vegetarian
lightened up key lime bars {without condensed milk},"['1 1/2 cup crumbled graham crackers', '1/2 cup unsweetened coconut flakes', '1 cup pitted dates', '1/4 tsp cinnamon', '1 tbsp coconut oil', '1 1/2 tsp powdered gelatin', '2/3 cup freshly squeezed lime juice, about 4-5 limes', '2 cups whole milk', '2 eggs', '3/4 cup sugar', '3 tbsp cornstarch', 'unsweetened coconut flakes, toasted', 'powdered sugar']",,"Grab an 8×8 inch pan. Line it with parchment paper leaving extra to hang over the sides for easy removal.
To make the crust, soften your dates. If they look a bit dry and crystalized, soak in warm water to reconstitute. Remove the pits. In a food processor, add the graham crackers, coconut flakes, dates, cinnamon and coconut oil. Process until the mixture resembles wet sand. It should look crumbly but come together when pressed in your hands. If not, add a tiny bit of water to get it going. Then, press the crumbs down into your lined pan to make your crust.
For the pastry cream, place the gelatin and a splash of water in a small bowl. Mix well and set aside.
Juice the limes. An electric juicer or citrus reamer works really well. Set aside.
Bring the milk to a gentle boil. Remove from the heat. In a large bowl, whisk the eggs, sugar, and cornstarch until well combined. To temper the eggs, slowly whisk about ½ cup of the warm milk into the egg mixture, stirring constantly (do not pour all at once or else the eggs will scramble). Pour the tempered egg mixture back into the pan of milk. Add the gelatin and lime juice. Increase the heat to medium-low, and cook stirring constantly with a wooden spoon until it has thickened, about 1-3 minutes . Strain the mixture through a fine sieve directly over your prepared crust. Smooth out the top with a rubber spatula. Cover with plastic wrap (touching the surface of the pastry cream) so that it does not form a skin. Leave to cool at room temperature for an hour and then transfer to the fridge to chill overnight.
When ready to serve, remove the plastic wrap. Then remove the the pie from the pan.
Garnish with toasted coconut flakes and powdered sugar.
Cut into squares and serve.",en,True,,False,False
lemon poppy seed cornmeal muffins,"['1 1/2 c. flour', '1/2 c. cornmeal', '1 tsp. poppy seeds', '1 1/2 tsp. baking powder', '1/2 tsp. baking soda', 'pinch of fine grain sea salt', '2 eggs', '1/3 c. oil', '2/3 c. sugar', '3/4 c. buttermilk', 'zest and juice of 1 lemon']",,"Preheat your oven to 350 F. Line a 12 cup muffin tin with paper cups.
In a large bowl whisk together the dry ingredients; flour, cornmeal, poppy seeds, baking powder, baking soda, and salt.
In another bowl mix together the wet ingredients; eggs, oil, sugar, buttermilk and the zest and juice of a lemon. Whisk well to combine.
Gently combine the dry and wet ingredients.
Spoon the batter into your muffin cups, about ¾ full. You should be able to get 10-12 muffins.
Bake for 15-20 minutes, or when a toothpick comes out clean when inserted.
Cool inside the tin and then transfer to a wire rack.",en,True,,False,True
banana bread with greek yogurt frosting,"['3/4 c. all purpose flour', '3/4 c. whole wheat flour*', '1/2 tsp. salt', '1/2 tsp. baking soda', '1 tsp. baking powder', '1/2 tsp. cinnamon', '1 1/3 c. mashed, overripe banana (2-3 bananas)', '3/4 c. sugar', '2 eggs', '1 1/2 tsp. vanilla', '1/3 c. oil', '1 c. cream cheese, softened (regular or low fat)', '1/2 c. greek yogurt (I used Fage 2 %)', '1/2 c. powdered sugar']",,"Preheat your oven to 350 F. Lightly grease a 9×5 loaf pan and line with parchment paper (so that it sticks). Set aside.
In a large bowl, whisk together all of the dry ingredients so that they are evenly incorporated.
In another bowl, mash the bananas with a fork or potato masher until it looks like puree. You could also do this with an electric mixer.
Add the sugar, eggs, and vanilla and mix well to combine. Slowly stream in the oil.
Combine the dry and wet ingredients and stir gently until all of the liquid is absorbed. Do not over mix (the bread will be tough). Add the batter to the prepared loaf pan.
Bake in the center of the oven for about 50-60 minutes. The bread is done when a toothpick comes out clean when inserted.
Transfer to a cooling rack. Cool completely before frosting.
To make the frosting, beat together the cream cheese and greek yogurt until smooth. Sift in the powdered sugar to avoid any lumps. Mix well to combine. Taste the frosting and add additional powdered sugar if you like it sweet.",en,True,,False,True
coconut mango muffins,"['1 3/4 c. all-purpose flour', '1 1/2 tsp. baking powder', '¾ c. sugar', '1 c. mango, cut into bite-sized cubes', '2 eggs', '⅓ c. melted coconut oil', '¾ c. buttermilk, room temperature', '1 tsp. vanilla', 'unsweetened coconut flakes', 'white chocolate chips']",,"Preheat your oven to 375 F. Line a muffin tin with baking cups.
In a large bowl, sift together the flour, baking powder and sugar. Add the mangoes and toss gently to coat.
In another bowl, whisk together all of the wet ingredients until well blended.
Gently combine the dry and wet ingredients. Try not to break up the mangoes or over mix the batter; you will have tough muffins.
Spoon the batter into your muffin cups, about ⅔’s full.
Sprinkle some of the coconut flakes and white chocolate chips over the top.
Bake for 15-20 minutes, or until a toothpick comes out clean when inserted.
Cool for 10 minutes inside the tin. Transfer to a wire rack to finish cooling.",en,True,,False,True
buttermilk blueberry crumb muffins,"['1 3/4 c. unbleached all purpose flour', '2 tsp. baking powder', '1/4 tsp. fine grain sea salt', '1 c. blueberries', '2 eggs', '1/3 c. oil', '3/4 c. sugar', '3/4 c. buttermilk', '1 tsp. vanilla', '1/2 cup flour', '3 tbsp. melted *salted* butter', '3 tbsp. sugar', '1 tsp. cinnamon', '1 c. blueberries']",,"To make the crumb topping, add all of the ingredients to a large bowl. Mix together with your hands until you have chunky crumbs. Refrigerate until ready to use.
Preheat your oven to 375 F. Line a 12 cup muffin tin with paper cups.
In a large bowl sift together the flour, baking powder, and salt. Add the blueberries and toss gently with a spoon to coat.
In another bowl, whisk together all of the wet ingredients until thoroughly incorporated and the sugar crystals have dissolved.
Gently combine the dry and wet ingredients. Try not to break up the blueberries or over mix the batter; you will have tough muffins.
Spoon the batter into your muffin cups, about 2/3’s full. You should be able to get 10-12 muffins. Sprinkle some of the crumb topping over each muffin. Gently press 3-4 blueberries into the batter.
Bake for 15-20 minutes, or when a toothpick comes out clean (blueberry juice is ok) when inserted.
Cool for 10 minutes inside the tin. Transfer to a wire rack to finish cooling.",en,True,,False,True
pumpkin granola muffins,"['1/2 c. all purpose flour', '1/2 c. whole wheat flour', '1/4 tsp. cinnamon', '1 tbsp. pumpkin pie spice', '½ tsp. baking soda', '1 tsp. baking powder', 'pinch of salt', '1 c. pumpkin puree', '¾ c. sugar (I use blonde cane sugar)', '2 eggs', '1½ tsp. vanilla', '⅓ c. coconut oil, melted & cooled', '1 c. granola (any variety)']",,"Preheat your oven to 350 F. Line a muffin tin with 12 paper cases.
In a large bowl, sift together all of the dry ingredients so that they are evenly incorporated.
In another bowl, whisk together all of the wet ingredients.
Combine the dry and wet ingredients, and stir until just combined; do not over mix (the muffins will be tough).
Spoon the batter into the prepared muffin tin, filling them about 2/3’s full.
Sprinkle 1 tsp. of granola onto each muffin.
Bake in the center of the oven for about 25-30 minutes. The muffins are done when a toothpick comes out clean when inserted.
Transfer to a wire rack to cool before serving.",en,True,,False,True
Best Blueberry Cornmeal Muffins,"['1 c. all purpose flour', '3/4 c. cornmeal', '1/2 tsp. baking soda', '2 tsp. baking powder', 'pinch of salt', '3/4 c. sugar', '1/2 c. oil', '1/4 c. whole milk yogurt (not greek)', '1/4 c. whole milk', '1 egg', '1 cup blueberries']",,"Preheat your oven to 400 F. Line a 12 cup muffin tin with paper cups.
In a large bowl whisk together the dry ingredients; flour, cornmeal, baking soda, baking powder, and a pinch of salt.
In another bowl mix together the wet ingredients; sugar (yes, sugar is dry but mixing it with the egg and other ingredients helps to break down the sugar crystals), oil, yogurt, milk and egg.
Combine the dry and wet ingredients. DO NOT over mix or else you will have tough muffins.
Gently fold in the blueberries.
Spoon the batter into your muffin cups, about 3/4 full. You should be able to get 12-14 muffins.
Bake for 15-20 minutes, or when a toothpick comes out clean when inserted.
Cool for 15 minutes inside the tin. Then transfer to a wire rack to finish cooling.",en,True,,False,True
make-ahead smoothies,"['1/2 cup frozen cherries, pitted', '1/4 cup frozen mixed berries', '1 cup apple cider (my favorite), boxed coconut milk, or almond milk, plus more to taste', '1/2 cup frozen mango cubes', '1/2 frozen banana', 'dollop of yogurt', '1 cup orange juice or boxed coconut milk, plus more to taste', '1/2 cup frozen pineapple chunks', '1/2 banana', 'handful of baby kale or baby spinach', 'dollop of yogurt', '1 cup boxed coconut milk, plus more to taste', 'Shelled hemp seeds, crushed almonds, or a mix of your favorite nuts and seeds.', 'Lime wedges']",,"For make-ahead smoothies, cut the fruit into chunks and add to a ziploc bag. Add the baby kale or baby spinach, and any optional ingredients. Label, date and freeze until ready to use.
To make each smoothie, add all of the ingredients to a blender (respectively). Process until smooth and creamy. Add additional liquid if necessary.
Top with your choice of garnish.
Serve right away.",en,False,,False,True
5 minute white peach margaritas,"['3 juicy white peaches, unpeeled', '3 tbsp good-quality tequila (I used Patron Silver)', '1 tbsp Triple sec', 'juice of 1 lemon, plus more to taste', '1 heaped tbsp of honey', 'mint sprigs & blossoms for garnish']",,"Roughly chop 2 of the white peaches. Slice the remaining peach into wedges for garnish and set aside. Alternatively, freeze your peach wedges to chill your drink. Do this on a parchment lined plate to prevent sticking.
Add your chopped peaches to a blender. Top with tequila, Triple sec, lemon juice, and honey. Blend until perfectly smooth. Quick tip- depending on the texture of your peaches, you might need a splash of water to loosen up your puree. The consistency should be velvety smooth, not thick. Strain if necessary (see note above).
Taste your margarita mix to see what it needs. More honey? More lemon? More alcohol? Adjust accordingly to suit your taste.
Fill two glasses with ice. Pour your peachy margarita mix over the top and stir well.
Garnish with mint and peach wedges.
Serve right away. Cheers!",en,False,,False,False
winter white cosmo,['For the Cocktail 3 oz. citron vodka 1 oz. white cranberry juice 1/2 oz. cointreau 1 oz. fresh lime juice Garnish Fresh mint leaves Sugar covered cranberries* Red toothpicks or wooden skewers *Substitute with frozen cranberries or raspberries'],,"Fill a small glass with ice.Combine the cocktail ingredients and mix well. Adjust with extra lime or cranberry juice to suit your taste. There should be a fine balance between sweet & tart. Alternatively, you can shake up your ingredients with ice and strain into chilled martini glasses.
For the garnish, skewer mint sprigs and sugar covered cranberries (2) onto a toothpick. Place on the rim of the glass (not in the drink) so that the sugar doesn’t melt. Let your guests use it to stir their cocktail. *See note below. Serve straight away!",en,True,,True,True
