title,ingredients_raw,ingredients_processed,instructions,language,heat_processed,cuisine_tags,vegan,vegetarian
Spring Salad with Radishes,"['1/2 c. olive oil or vegetable oil', '3 tbsp. grated parmesan cheese', '1/4 tsp. kosher salt, plus more to taste', 'Black pepper, to taste', '1/4 tsp. sugar', '1 to 2 dashes paprika', '1/3 c. fresh lemon juice', '1 garlic clove', '1 (5-oz.) package baby kale (about 6 c.)', '1 (5-oz.) package baby romaine (about 6 c.)', '1 head Boston lettuce, torn (about 6 c.)', '1/2 small red onion, thinly sliced', '6 radishes, thinly sliced']",,"For the dressing: In a jar, combine the olive oil, parmesan, salt, pepper, sugar, paprika, lemon juice, and garlic. Shake it up and store it in the fridge until using.
For the salad: In a large bowl, combine the greens, red onion, and radishes. Discard the garlic from the dressing and shake well again, then drizzle about half over the salad. Season with salt and pepper. Toss well, adding more dressing if needed.",en,False,,False,True
Baked French Toast,"['Butter, for greasing and serving', '1 loaf crusty sourdough or French bread', '8 eggs', '2 c. whole milk', '1/2 c. heavy cream', '1/2 c. granulated sugar', '1/2 c. brown sugar', '2 tbsp. vanilla extract', 'Warm syrup, for serving', '1 c. fresh blueberries, for serving', '1/2 c. flour', '1/2 c. firmly packed brown sugar', '1 tsp. cinnamon', '1/4 tsp. salt', 'Freshly grated nutmeg (optional)', '1/2 c. cold butter, cut into pieces']",,"For the French toast: Grease a 13-by-9-inch baking pan with butter. Tear the bread into chunks, or cut it into cubes, and evenly distribute it in the pan. Crack the eggs in a big bowl. Whisk together the eggs, milk, cream, granulated sugar, brown sugar, and vanilla. Pour evenly over the bread. Cover the pan tightly and store in the fridge until needed (overnight preferably). Or you can make it and bake it right away—it's delicious no matter what!
For the topping: In a separate bowl, use a fork to stir together the flour, brown sugar, cinnamon, salt, and some nutmeg. Add the butter and use a pastry cutter to mix it all together until the mixture resembles fine pebbles. Store in a plastic bag in the fridge.
When you're ready to bake the casserole, preheat the oven to 350°F. Remove the casserole from the fridge and sprinkle the topping over the top. Bake for 45 minutes for a softer, bread pudding-like texture or for 1 hour or more for a firmer, crisper texture.
Scoop out individual portions. Top with butter, drizzle with warm syrup, and sprinkle with blueberries.",en,True,,False,True
Rhubarb Crisp,"['Salted butter, for the baking dish', '3 c. sliced fresh rhubarb', '3 c. thickly sliced strawberries', '1 tsp. grated fresh ginger', '1/2 tsp. ground cinnamon', '3/4 c. packed light brown sugar', '1/4 c. all-purpose flour', '1/2 tsp. kosher salt', '1 c. all-purpose flour', '1 c. rolled oats', '1/2 c. packed light brown sugar', '1/2 c. granulated sugar', 'Pinch of kosher salt', '2 sticks cold salted butter', '1/2 c. chopped pecans', 'Strawberry ice cream, for serving']",,"Preheat the oven to 350˚F. Butter a 2-quart baking dish.
For the filling: Combine the rhubarb, strawberries, ginger, and cinnamon and toss in a large bowl. Whisk together the brown sugar, flour, and salt in a small bowl; add it to the rhubarb mixture and mix well.
For the topping: Mix together the flour, oats, brown sugar, granulated sugar, and salt in a separate large bowl. Cut 1 1/2 sticks of the butter into cubes, then work the butter into the flour mixture using a pastry cutter or 2 knives. Stir in the pecans.
Pour the rhubarb filling into the baking dish and sprinkle with the topping. Cut the remaining 1/2 stick butter into cubes and dot the top of the crisp with it. Bake until the fruit is bubbly and the topping is golden brown and crisp, 50 to 60 minutes. Serve with strawberry ice cream.",en,True,,False,True
Spinach Lasagna,"['1 stick salted butter', '2 tsp. kosher salt, plus more to taste', '12 lasagna noodles', '3 bunches fresh spinach, trimmed', 'Black pepper, to taste', '2 garlic cloves, chopped', '1/4 c. all-purpose flour', '4 c. whole milk', '1 c. heavy cream', '1 3/4 c. grated parmesan cheese', '1 lb. whole-milk ricotta cheese', '2 large egg yolks', '1 c. fresh parsley, roughly chopped', '4 scallions, chopped', '8 oz. ounces deli-sliced low-moisture mozzarella cheese']",,"Preheat the oven to 400°F. Use 1 tablespoon butter to grease a 9-by-13-inch broiler-safe baking dish. Bring a large pot of salted water to a boil. Add the noodles and cook about 3 minutes shy of the package cooking time. Drain and rinse under cold water. Melt 2 tablespoons butter in a Dutch oven over medium heat. Add the spinach, season with 1⁄2 teaspoon salt and pepper to taste; cook, stirring, until wilted, 3 to 4 minutes. Add half of the garlic and cook 1 to 2 minutes. Drain and let cool slightly, then wrap in a clean kitchen towel and wring out the liquid.
Wipe the Dutch oven clean. Add the remaining 5 tablespoons butter and melt over medium heat. Whisk in the flour and cook, whisking, until smooth and thick, about 2 minutes. Add the remaining garlic and 1 teaspoon salt and cook until sizzling, about 30 seconds. Slowly stir in the milk and heavy cream. Bring to a simmer, stirring constantly; cook, stirring, until thickened, about 5 minutes. Whisk in 1 cup parmesan and remove from the heat.
In a medium bowl, stir together the ricotta, egg yolks, parsley, scallions, 1⁄2 cup parmesan, 1⁄2 teaspoon salt and some pepper in a medium bowl.
Spread 1 cup of the sauce in the baking dish. Arrange 4 noodles lengthwise in the dish. Spread with another 11⁄2 cups sauce. Layer half of the mozzarella over the sauce, then spread with half of the ricotta mixture and half of the spinach. Repeat the layering (noodles, sauce, mozzarella, ricotta, and spinach). Top with the remaining 4 noodles and spread with the remaining sauce (about 1 cup). Sprinkle with the remaining 1⁄4 cup parmesan.
Cover with foil, tenting it so it doesn’t touch the lasagna. Place on a baking sheet and bake until the edges begin to bubble, about 20 minutes. Uncover and bake until golden brown on top, 30 to 35 minutes. Switch the oven to broil and broil 1 minute to brown the top. Let sit 15 minutes before serving.",en,True,,False,True
Honey-Garlic Chicken Thighs,"['1/3 c. honey', '2 tbsp. low-sodium soy sauce', '2 tbsp. apple cider vinegar', '1/2 tsp. crushed red pepper flakes (optional)', '6 bone-in, skin-on chicken thighs (about 2 1/2 pounds)', '1 tsp. kosher salt', '1/2 tsp. black pepper', '1/2 c. all-purpose flour', '3 tbsp. olive oil', '6 garlic cloves, minced', 'Cilantro, for serving', 'Steamed white rice, for serving']",,"Preheat the oven to 400°F.
In a small bowl, whisk together the honey, soy sauce, apple cider vinegar, and red pepper flakes, if using. Set aside.
Season the chicken with the salt and pepper. Place the flour in a shallow dish and dredge both sides of the thighs in the flour, shaking off any excess.
Heat the oil in an oven-proof skillet over medium heat. Add the chicken, skin-side down, and cook until golden, 4 to 6 minutes. Flip, then add the garlic to the pan around the chicken. Let it cook until fragrant, 1 minute. Pour the honey mixture over the top and around the chicken and transfer the skillet to the oven. Roast until the chicken is cooked through and registers 165°F on an instant-read thermometer inserted into the thickest part of a thigh, about 15 minutes.
Transfer the chicken to a platter to rest. Bring the sauce in the skillet to a simmer over medium heat and cook until reduced and thickened, 2 to 3 minutes. Spoon the sauce over the chicken and sprinkle with cilantro. Serve with rice.",en,True,,False,False
Broccoli Salad,"['1 c. mayonnaise', '3 tbsp. apple cider vinegar', '3 tbsp. granulated sugar', '1 tsp. ground black pepper', '8 c. small broccoli florets', '1 c. dried cranberries', '1 c. shredded sharp cheddar cheese', '1 c. smoked almonds, chopped', '6 slices bacon, cooked and crumbled', '1/4 c. chopped red onion']",,"For the dressing: In a large bowl, whisk together the mayonnaise and vinegar until smooth. Stir in the sugar and pepper until combined; set aside.
For the salad: Add the broccoli to the dressing mixture, stirring together to combine. Add the cranberries, cheese, almonds, bacon, and red onion, stirring to combine.
Refrigerate at least 1 hour or up to 3 days before serving.",en,False,,False,False
Roasted Carrots with Spring Herb Dip,"['1 tsp. smoked paprika', '1/2 tsp. ground cumin', '2 tsp. kosher salt', '1 1/2 tsp. garlic powder', '1 tsp. black pepper', '2 lb. carrots, peeled and cut into 4-inch sticks', '2 tbsp. salted butter, melted', '4 oz. cream cheese, at room temperature', '1/2 c. plain Greek yogurt', '1/2 c. tender herbs (such as chives, parsley, dill, mint, or a combination)', 'Zest and juice of 1 lime']",,"Preheat the oven to 450°F.
In a small bowl, whisk together the paprika, cumin, 1½ teaspoons salt, 1 teaspoon garlic powder, and ½ teaspoon black pepper. Place the carrots on a large baking sheet, drizzle with the butter, sprinkle with the spice mixture, and toss to combine.
Roast, flipping the carrots halfway through, until they're crisp-tender and golden brown on the edges, 15 to 20 minutes.
Meanwhile, add the cream cheese, yogurt, herbs, lime zest and juice, 1 tablespoon water, and the remaining ½ teaspoon salt, ½ teaspoon garlic powder, and ½ teaspoon pepper to a food processor. Process until smooth, about 1 minute.
Serve the carrots with herb dip.",en,True,,False,False
Strawberry Delight,"['12 graham cracker sheets (about 6 ½ ounces)', '1/4 c. light brown sugar', '6 tbsp. salted butter, melted', 'Nonstick cooking spray, for the baking dish', '1 1/2 c. heavy cream', '2 (8-ounce) packages cream cheese, at room temperature', '2 c. powdered sugar', '2 tsp. vanilla extract', '1 (3-ounce) package strawberry gelatin', '1/2 c. boiling water', '1 lb. strawberries, hulled and thinly sliced']",,"For the crust: Process the graham crackers and brown sugar in a food processor until finely ground, about 1 minute. With the processor running, slowly pour in the melted butter. Process the mixture until it is the texture of coarse sand.
Spray a 9-by-9-inch square baking dish with cooking spray. Transfer the graham cracker mixture to the dish and press the mixture into the bottom, using the flat bottom of a measuring cup to make an even layer (press firmly). Freeze for at least 20 minutes and up to 2 days.
For the filling: In the bowl of a stand mixer fitted with the whisk attachment, beat the heavy cream on medium-high speed until stiff peaks form, about 3 minutes. Transfer the mixture to a large bowl.
Combine the cream cheese, powdered sugar, and vanilla in the same bowl used to beat the heavy cream (no need to wipe it clean). Beat on medium-high speed until light, fluffy, and smooth, about 3 minutes. Remove from the mixer and whisk in a third of the whipped cream by hand, then gently fold in the rest using a rubber spatula. Spread half of the cream cheese mixture over the graham cracker crust in an even layer.
In a medium bowl, stir together the strawberry gelatin and 1/2 cup boiling water until dissolved, about 2 minutes.
Beat 1/3 cup of the strawberry gelatin into the remaining cream cheese mixture until fully incorporated. Spread over the top of the plain cream cheese layer.
Toss the sliced strawberries in the remaining strawberry gelatin to fully coat. Spoon the strawberries over the cream cheese in an even layer. Chill until set, at least 4 hours and up to 12 hours. (If chilling longer than 4 hours, cover with plastic.)",en,True,,False,False
Oven-Baked Pork Chops,"['2 red and/or yellow peppers, sliced', '1 c. corn kernels (fresh or frozen)', '3 tbsp. olive oil', '1 1/2 tsp. seafood seasoning, such as Old Bay', '1 1/2 tsp. kosher salt', '1/2 tsp. black pepper', '6 bone-in pork chops (1/2 to 3/4 inch thick)', '1 tsp. smoked paprika', '1/4 c. plus 2 tablespoons barbecue sauce', '1 14-ounce bag shredded coleslaw mix', '2 scallions, thinly sliced', '1/3 c. apple cider vinegar', '1 tsp. sugar']",,"Position racks in the upper and lower thirds of the oven. Preheat to 450˚F. Toss the bell peppers and corn on a rimmed baking sheet with 2 tablespoons olive oil, 1 teaspoon seafood seasoning, ½ teaspoon sal,t and ¼ teaspoon pepper. Spread in a single layer and roast on the lower oven rack, stirring once, until tender and lightly browned, about 20 minutes.
Meanwhile, toss the pork chops with the remaining 1 tablespoon olive oil in a bowl, then sprinkle with the smoked paprika and the remaining 1 teaspoon salt, and ¼ teaspoon pepper.
Set a rack on a rimmed baking sheet. Put the pork chops on the rack and brush with ¼ cup barbecue sauce. Roast until the pork is lightly browned and about halfway cooked through, 10 to 12 minutes. (A thermometer inserted near the bone should read over 100˚). Switch the oven to broil. Top the chops with the remaining 2 tablespoons barbecue sauce and broil until lightly caramelized and just cooked through, 5 to 7 more minutes.
Add the coleslaw mix and scallions to the pan of roasted peppers. In a small bowl, stir together the vinegar, sugar and remaining ½ teaspoon seafood seasoning, then pour over the tray of vegetables. Toss well. Serve pork chops with the warm slaw. ",en,True,,False,False
Monkey Bread Muffins,"['Nonstick cooking spray, for the pan', '2/3 c. granulated sugar', '2 tsp. ground cinnamon', '2 (16.3-ounce) tubes buttermilk biscuits (such as Pillsbury Grands Southern Homestyle Biscuits)', '4 tbsp. (1/2 stick) salted butter', '1/4 c. packed brown sugar', '1 c. powdered sugar', '1 to 2 Tbsp. milk']",,"Preheat the oven to 350°F. Grease a standard 12-cup muffin pan with cooking spray and place on a foil-lined baking sheet.
In a 1-gallon zip-top plastic bag, combine the granulated sugar and cinnamon. Open the canned biscuits and cut each biscuit into 6 pieces (you should have 96 total). Drop the pieces in the bag of cinnamon sugar, seal, and give it a vigorous shake to separate the pieces and coat in cinnamon sugar. Divide the biscuit pieces between each muffin cup; you should have 8 pieces per cup. Press down lightly so the pieces stick together.
In a small saucepan, melt the butter and brown sugar over medium heat, stirring to combine. Spoon the brown sugar mixture over the biscuit pieces, about 1 teaspoon per muffin cup.
Bake the muffins until golden brown, 20 to 25 minutes. Let cool for 5 minutes in the pan.
Meanwhile, make the glaze. In a medium bowl, whisk together the powdered sugar and 1 tablespoon of the milk. Add more milk, 1 teaspoon at a time, until a thick, but pourable consistency is achieved. Remove the muffins to a rack. Drizzle the glaze over the muffins and serve warm.",en,True,,False,True
