title,ingredients_raw,ingredients_processed,instructions,language,heat_processed,cuisine_tags,vegan,vegetarian
Chocolate Chip Zucchini Bread,"['2 cups grated zucchini, packed', '2 large eggs', '2/3 cup vegetable oil', '2/3 cup granulated sugar', '1/2 cup light brown sugar, packed', '2 teaspoons vanilla extract', '1 teaspoon cinnamon + 1/4 teaspoon nutmeg', '1/2 teaspoon salt', '1 teaspoon baking soda', '1/2 teaspoon baking powder', '2 1/4 cups all-purpose flour', '2 cups chocolate chips, or as desired', '2 tablespoons granulated sugar + 1/4 teaspoon cinnamon']",,"Preheat oven to 350°F. Generously grease a 9x5"" loaf pan.
In a large bowl, combine the grated zucchini, eggs, vegetable oil, sugars, extract, spices, and salt. Mix well.
Mix in the baking soda and baking powder until well distributed. Then, sprinkle over the all-purpose flour and stir until no streaks of flour remain, being careful not to overmix.
Fold in 1 1/2 cups of the chocolate chips, reserving the rest for topping.
Mix the 2 tablespoons of granulated sugar with 1 teaspoon of cinnamon. Sprinkle this mixture evenly over the top of the batter. Top with the remaining chocolate chips.
Bake for 50-60 minutes until a toothpick inserted in the center comes out clean. Allow bread to cool completely before removing from pan.",en,True,,False,True
Apple Bread with Cinnamon Swirl,"['1/2 cup granulated sugar', '1⁄2 cup brown sugar', '2 large eggs, room temperature', '1 cup sour cream', '1/2 cup neutral oil', '2 teaspoons vanilla extract', '2 cups all purpose flour', '1 teaspoon baking powder', '1 teaspoon baking soda', '1 tablespoon pumpkin pie spice', '1 teaspoon salt', '2 apples (Pink Lady, Gala, Honeycrisp – any good baking apples), peeled and diced small or grated', 'Cinnamon sugar mixture (1/4 cup granulated sugar + 1 tablespoon ground cinnamon)']",,"Preheat oven to 350°F. Grease a large loaf pan and line with parchment paper.
In a large bowl, whisk together the flour, baking powder, baking soda, pumpkin pie spice, and salt. In a separate bowl, whisk together the granulated sugar, brown sugar, eggs, sour cream, oil, and vanilla.
Pour the wet ingredients into the dry ingredients and gently fold together until just combined. Be careful not to overmix. Fold in the chopped apples until evenly distributed.
Pour half of the batter into the prepared loaf pan. Sprinkle half of the cinnamon sugar mixture over the batter. Top with the remaining batter, and then sprinkle the top with the remaining cinnamon sugar mixture. If desired, use a knife to make a few light swirls through the batter to distribute the cinnamon sugar mixture and get a more rustic looking loaf.
Bake for 60-70 minutes, or until a toothpick inserted in the center comes out with just a few crumbs clinging (but no wet batter). Allow to cool in the pan for 20 minutes, then remove from the pan and place on a wire rack to continue to cool completely before slicing.",en,True,,False,False
Easy No-Knead Artisan Bread,"['480 grams (about 3.5-4 cups) bread flour*', '9 grams (1.5 teaspoons) salt', '3 grams (1/2 teaspoon) instant yeast', '360 grams (1.5 cups) room temperature water']",,"The night before baking day, mix together the flour, salt and instant yeast.
Add the water and mix with your hands until a shaggy ball forms and no dry bits of flour remain. Cover with plastic wrap or a second bowl and let sit to rise at room temperature overnight (at least 10 hours).
In the morning, stretch and fold the dough. Using a wet hand, lifting a handful of dough from one side of the bowl, stretch upward, and cross over toward the opposite side of the bowl. Turn the bowl slightly and continue around the bowl until a tighter dough ball forms, about 10 times in total. Cover and let rise again until roughly doubled in size, about 2 hours.
When dough is ready, gently transfer to a floured surface, being careful not to stretch the dough too much as you separate it from the bowl. Fold the sides of the dough inward, one at a time, overlapping the last fold each time. Then, bring the edges of the dough toward the center to create a rounder shape, and pinch together to seal.
Gently flip the dough over so the seam-side is down, and use your hands to turn and tuck the sides of the dough downward to create a more even loaf and increase the surface tension.
Crumple a sheet of parchment paper into a ball and then smooth back out-- this will prevent the parchment from rolling up on itself. Transfer the dough to the parchment paper and cover one last time to rest as you preheat the oven.
Set a dutch oven with the lid on into the oven and preheat to 450 degrees F for one hour.
After an hour, carefully remove the preheated dutch oven from the oven, and place on a heat-safe surface. Remember, the pot and lid are both very hot. Use the parchment paper to transfer the dough to the dutch oven, cover with the lid, and bake for 30 minutes.
Remove the lid and bake for an additional 30 minutes, or until browned as desired.
Remove the bread from the dutch oven, and let cool on a cooling rack until fully cooled, at least 4 hours.",en,True,,True,True
Strawberry Lemon-Ricotta Crumb Cake,"['2 cups all-purpose flour', '2 teaspoons baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon salt', '1/2 cup unsalted butter, softened', '1 cup granulated sugar', '2 large eggs, room temperature', '1 cup ricotta cheese', '2 tablespoons fresh lemon juice + 2 tablespoons lemon zest', '1 teaspoon vanilla extract', '8-10 strawberries, sliced, plus more to garnish', '1 cup all-purpose flour', '1/2 cup light brown sugar', '1/2 cup granulated sugar', '1/2 cup unsalted butter, melted', '1 cup powdered sugar', '2 tablespoons fresh lemon juice', '1 teaspoon vanilla extract']",,"Prepare the cake
Preheat your oven to 350°F (180°C). Grease a 9-inch round springform pan with cooking spray and line the bottom with parchment paper. To make the cake batter, in a medium bowl, whisk together the flour, baking powder, baking soda, and salt. In a separate, medium-sized bowl, massage together the sugar and lemon zest until sandy in texture and the sugar becomes a light yellow. Using a hand mixer or stand mixer, cream together the butter and sugar until light and fluffy. Add the eggs, one at a time, and beat until well combined. Add the ricotta cheese, lemon juice, and vanilla extract to the butter mixture, then gradually add the flour mixture to the butter mixture. Be sure not to overmix.
Make the streusel
In a medium bowl, whisk together the flour, granulated sugar and brown sugar, and melted butter until the mixture forms coarse crumbs.
Assemble and bake
Spoon the cake batter into the prepared springform pan. layer sliced strawberries over the cake batter. Sprinkle the streusel over the top of the strawberries to fully cover. (You may wind up having a little extra!) Bake for 45 minutes, then tent with foil and continue to bake until a toothpick inserted into the center comes out clean, about 20 more minutes. Let cool completely in the springform pan.
Drizzle and serve
As the cake cools, whisk together the powdered sugar, lemon juice, and vanilla extract in a bowl until smooth. Remove the Drizzle the glaze over the cooled cake, garnish with extra strawberries, then slice and serve.",en,True,,False,True
Fluffy Pumpkin Pancakes,"['2 cups all purpose flour', '2 tablespoons brown sugar', '2 teaspoons baking powder', '1 teaspoon baking soda', '2 teaspoons ground cinnamon', '1 teaspoon kosher salt', '1/2 teaspoon grated nutmeg', '2 cups buttermilk', '1 cup pumpkin purée', '2 large eggs, yolks and whites separated', '2 tablespoons vegetable oil, plus more for greasing the skillet', '1 teaspoon vanilla extract']",,"Preheat griddle or large non-stick skillet to medium heat.
In a large bowl, whisk together the flour, brown sugar, baking powder, baking soda, salt, cinnamon, and nutmeg.
In a separate bowl, whisk together the pumpkin puree, buttermilk, egg yolks, vanilla extract, and oil.
Pour the wet ingredients into the bowl of dry ingredients, and whisk to combine. The batter should stay slightly lumpy so be sure not to overmix.
In a separate bowl, beat the egg whites to stiff peaks. Gently fold the egg whites into the batter. Let rest for 10 minutes.
Butter or oil the griddle or baking. Pour out 1/2 cup of batter for each pancake and spread into a circle.
Cook each pancake until golden brown, approximately 3-4 minutes per side.
Serve warm with butter, nuts, and syrup, if desired. *",en,True,,False,True
Whipped Pumpkin Butter,"['1/2 cup butter (1 stick), softened', '1/4 cup pumpkin puree', '2 tablespoons maple syrup or honey', '1/2 teaspoon cinnamon', 'Kosher salt, to taste']",,"In a large bowl, combine the butter, pumpkin puree, maple syrup, cinnamonm
Using a hand mixer or stand mixer, whip the mixture until well-combined and lightly airy. It will take several minutes, so don't worry if it looks a bit wet and grainy at first. Adjust seasonings and add salt, to taste.
Pipe, spoon, or swirl the pumpkin butter into small bowls or short jars to serve. Alternatively, refrigerate or freeze for later.",en,False,,False,True
Moist Pumpkin Bread with Cinnamon-Sugar Swirl,"['1 (15 ounce) can pumpkin puree', '2 teaspoons vanilla extract', '3/4 cup canola or vegetable oil', '3 large eggs', '1 1/2 cup granulated sugar', '1/2 cup light brown sugar, lightly packed', '2 1/2 cups all purpose flour', '1 teaspoon baking powder', '1 teaspoon baking soda', '1 teaspoon kosher salt', '2 teaspoons ground cinnamon', '1 teaspoon ground nutmeg', '1/4 teaspoon ground ginger', '1/4 teaspoon ground cloves', '1/3 cup granulated sugar', '2 tablespoons ground cinnamon']",,"Preheat the oven to 350°F. Butter a large (9x5”) loaf pan and line with parchment paper, if desired.
In a large bowl, combine the pumpkin puree, vanilla extract, oil, eggs, and sugars. Whisk until well-combined.
In a separate large bowl, whisk together the flour, baking powder, baking soda, salt, and all of the spices. Pour the wet ingredients into the dry ingredients and stir until no streaks of flour remain.
In a small bowl, whisk together the remaining 1/3 cup sugar and 2 tablespoons ground cinnamon.
Pour a third of the batter into the prepared loaf pan. Smooth and distribute the batter gently with a spatula. Sprinkle over about 2 1/2 tablespoons of cinnamon-sugar mixture. Layer with another third of the batter and sprinkle, again, with about 2 1/2 tablespoons of the cinnamon-sugar mixture. Repeat one more for the top layer, making sure to smooth it well, and only use enough cinnamon-sugar to lightly sprinkle over the top.
Place the loaf pan on a baking sheet and transfer to the oven. Bake the bread for 70 to 80 minutes, or until a cake tester or toothpick inserted in the center of the loaf comes out with only a few clinging, soft crumbs; and that same tester inserted about 1/2"" into the top of the loaf doesn't encounter any unbaked batter. Don’t worry if there’s a bit of pumpkin bread on your tester. You want your pumpkin bread to be moist. Just be sure it’s not gloppy.
Allow to cool in the pan for 5-10 minutes (or until cool enough to handle without damaging), then wrap in plastic wrap and let sit overnight or until ready to serve, for moister bread. Alternatively, let cool in the pan entirely and serve.",en,True,,False,True
Browned Butter Peaches and Cream Bars,"['2 cups all-purpose flour', '1/3 cup granulated sugar', '1/3 cup light brown sugar, packed', '1 teaspoon baking powder', '1/2 teaspoon kosher salt', '3/4 cup (1.5 sticks) unsalted butter', '8 ounces (1 block) cream cheese, softened at room temperature', '1/4 cup granulated sugar', '1 large egg', '1 teaspoon vanilla extract', '4-5 medium fresh peaches', '1/2 cup light brown sugar, packed', '1 teaspoon vanilla extract + 1 teaspoon almond extract (almond extract optional)', '1 teaspoon cornstarch', 'Pinch of kosher salt']",,"Preheat oven to 350°F. Butter a 9-inch square baking pan and line with parchment.
Brown the butter: Melt butter in a light-colored saucepan over medium-low heat. Cook, stirring until golden browned bits appear and the foaming starts to subside. Remove from heat and cool slightly.
Make dough
In a bowl, whisk flour, sugars, baking powder and salt. Pour in the browned butter and mix until crumbly dough forms.
Press about 2/3 of the dough into an even layer in the bottom of the prepared pan. Use the bottom of a cup placed over a bit of parchment paper to help evenly smooth the dough layer.
Make the cream cheese layer
Beat cream cheese and 1/4 cup sugar until smooth. Beat in egg and vanilla extract. Spread evenly over the dough base.
Make the peach filling
Roughly peel the peaches. Slice into wedges, then 1/2-inch pieces. Toss with brown sugar, extracts, cornstarch and pinch of salt. Arrange evenly over the cream cheese layer.
Crumble the remaining 1/3 of dough over the top of the peaches. Then bake for 50-60 minutes until golden brown on top and bubbling in the center.
Cool completely, then chill for 1 hour. Remove from the pan and slice into squares to serve.",en,True,,False,True
The Best Fudgy Homemade Brownies,"['3 sticks unsalted butter (1.5 cups)', '12 ounces semisweet chocolate chips, divided', '2 tablespoons vegetable or canola oil', '2 cups granulated sugar', '1/2 cup light brown sugar, lightly packed', '6 large eggs', '1 tablespoon vanilla extract', '1 teaspoon instant coffee granules', '1 cup all-purpose flour', '1 cup Dutch processed cocoa powder', '2 teaspoons cornstarch', '1 1/2 teaspoons salt']",,"Line an 8x12"" aluminum or nonstick baking dish with parchment paper*. Preheat the oven to 350°F.
Add the butter and half of the semisweet chocolate chips to a large, microwave-safe bowl. Save remaining chocolate for later.
Microwave in 20 second intervals until the chocolate is fully melted and combined, stirring in-between. Add the sugars and oil to the chocolate mixture and stir until well combined and the sugars have mostly dissolved. Allow to cool until just slightly warm to the touch.
Add in the eggs, vanilla extract, and instant coffee granules. Whip until thick and fluffy.
Sift in the flour, cocoa powder, cornstarch, and salt, and mix. Continue to fold in using a flexible baking spatula.
Once well-combined, fold in the remaining chocolate chips. Transfer to the prepared baking dish.
Bake until brownies are glossy on top but soft and not fully set, about 35 minutes*. Allow the pan to cool fully before transferring and slicing so the brownies firm up and set.",en,True,,False,True
Chocolate Peanut Butter Pretzel Dessert,"['2 cups crushed pretzels, plus more whole pretzels, for topping', '2 tablespoons granulated sugar', '3/4 cup (1 1/2 sticks) unsalted butter, melted.', '1 package (8 ounces) cream cheese, softened', ""1 cup confectioners' sugar"", '1/2 cup peanut butter, plus 3 tablespoons more, melted, for drizzling', '1 carton (8 ounces) frozen whipped topping, thawed, divided', '3 cups cold milk', '2 (4 ounce) packages instant chocolate pudding mix', '1/2 cup semi-sweet chocolate chips, to top', '1/2 cup unsalted peanuts, to top']",,"In a large bowl, combine the pretzels, granulated sugar, and butter. Evenly press the mixture into an ungreased 13x9"" baking dish. Bake at 350°F for 10 minutes, then let cool for 10 minutes.
Meanwhile, in a separate large bowl, beat together the cream cheese, confectioners' sugar, and peanut butter until smooth. Fold in half of the whipped topping until well-combined, and gently spread it over the pretzel crust.
In a large bowl, combine the cold milk and pudding mixes, and whisk until no large clumps remain, about 3 minutes. Let sit for 5 minutes to thicken. Gently spread the pudding over the peanut butter layer. Top the pudding layer with the remaining whipped topping.
Press whole pretzels into the top of the whipped topping. Microwave a few tablespoons of additional peanut butter and drizzle over top. Sprinkle with chocolate chips and peanuts, then cover and refrigerate for at least 4 hours before serving.",en,True,,False,True
