title,ingredients_raw,ingredients_processed,instructions,language,heat_processed,cuisine_tags,vegan,vegetarian
Salad Meal Prep Guide (3 Meals in 1!),"['1 head iceberg lettuce (8 cups), washed, dried, and chopped', '1 head red cabbage (8 cups), washed, dried, and chopped', '1 bunch kale (4 cups), washed, dried, and chopped', '1 handful sliced cherry tomatoes', '1/2 cup canned chickpeas (drained, rinsed, and seasoned with olive oil and salt)', '1 handful sliced olives', '1 handful sliced English cucumber', '1 handful jarred pepperoncini', '1 sprinkle feta cheese crumbles', '1 sprinkle Italian breadcrumbs / panko', 'Dressing: Purchased or homemade Italian dressing or Greek dressing', 'Protein of choice (see below)', '1 handful sliced cherry tomatoes', '1/2 cup canned black beans (drained, rinsed, and seasoned with olive oil and salt)', '1 handful canned corn (drained)', '1 handful sliced red onion or pickled red onions', '1 sprinkle feta cheese or queso fresco crumbles (optional)', '1/2 sliced avocado (optional)', 'Crushed tortilla chips or pepitas', 'Dressing: Purchased or homemade Chipotle ranch dressing (or purchased ranch with added hot sauce), Salsa ranch dressing, Cilantro lime dressing, or Vegan cilantro sauce. For BBQ Ranch bowls, use purchased or homemade ranch dressing and BBQ sauce.', 'Protein of choice (see below)', '1 handful chopped apple (chop right before serving)', '1 sprinkle feta cheese crumbles', '1/2 cup canned chickpeas (drained, rinsed, and seasoned with olive oil and salt)', '1 handful chopped walnuts, pecans, or almonds (make toasted nuts for the most flavor)', '1 handful sliced red onion or pickled red onions', 'Dressing: Purchased or homemade Balsamic dressing or Honey mustard dressing', 'Protein of choice (see below)', 'Chicken: Pan Seared Chicken (chopped or sliced), Shredded Chicken or Instant Pot Shredded Chicken, or purchased cooked chicken', 'Tofu: Breaded Tofu, Baked Tofu, or Pan Fried Tofu', 'Shrimp: Sauteed Shrimp or Old Bay Shrimp', 'Chickpeas or Beans: Drain and rinse chickpeas or beans, then season with olive oil and salt to taste.', 'Canned Tuna or Salmon: Drain and mix with olive oil and salt to taste.', 'Quinoa (GF)', 'White rice or brown rice (GF)', 'Farro', 'Couscous (pasta)']",,"Make the Greens mix
Chop the lettuce, chop the cabbage, and chop the kale (reference the linked videos if desired). Make sure the greens are washed and thoroughly dried. Store in a sealed container; the greens mix stays fresh up to 5 days. For maximum freshness, we like to cut half the batch and then chop a second batch later in the week, but you can also cut it all at once.
Make the protein
Decide which proteins you’d like, and which you’d like to prep in advance versus prep before serving. Cooked chicken lasts 3 to 4 days refrigerated, and cooked tofu lasts 4 to 5 days refrigerated. Shrimp is best to cook the day of serving; it takes 5 to 10 minutes to prep. Canned chickpeas, beans, tuna or salmon can be mixed up in minutes the day of.
Make a grain (optional)
You can add a grain to make the dish more filling, though we don’t always do this. Prep these in advance and refrigerate until serving. For the rice, you can reheat it with a splash of water on the stovetop and heat over medium low until it is warmed through (it becomes very dry when cooled). Cooked quinoa, rice, farro, or couscous last up to 5 days refrigerated.
Prep toppings (optional)
If desired, chop some of the salad toppings in advance as well and refrigerate; vegetables tend to last 2 to 3 days chopped (or you can chop before serving to maximize freshness). Pickled red onions are great to make in advance and use across all the salads.
Prep dressings (optional)
If desired, you can prep dressings in advance or use purchased.
Assemble the salad (day of)
The day of serving, place 1 1/2 to 2 cups of greens mix in a bowl. Top with the toppings and serve. Mix and match the proteins to create different meals throughout the week!",en,True,,False,False
Perfect Strawberry Smoothie,"['1 cup milk of choice', '1/4 cup Greek yogurt (or plain, vanilla or strawberry)*', '1 1/2 tablespoons maple syrup, honey, or agave syrup', '2 cups frozen strawberries', '1 ripe banana (room temperature)']",,"Place all ingredients in the order listed in a blender, breaking the banana into pieces. Add 1/2 cup ice. Blend until creamy and frothy, stopping a few times to scrape down the sides.**
Taste and adjust sweetness as desired (flavor will vary based on the ripeness of the bananas and brand of berries). Serve immediately or store in a covered jar in the refrigerator for 2 days.",en,False,,False,True
Easy Banana Smoothie,"['2 medium ripe bananas (room temperature)', '1 1/2 cups ice', '1/4 cup Greek yogurt*', '1/2 to 3/4 cup milk or nondairy milk (like almond, oat or coconut milk)', 'Optional mix-ins: 1 tablespoon peanut butter, 1/4 teaspoon vanilla extract, 1 to 2 tablespoons coconut or toasted coconut']",,"Place all ingredients in a blender, breaking the banana into pieces (start with 1/2 cup milk, then increase as necessary). Blend until creamy and frothy, stopping and scraping down the sides as necessary. If desired, garnish with banana slice and toasted coconut. Serve immediately or store in a covered jar in the refrigerator for 2 days.",en,True,,False,True
Best Spinach Smoothie,"['1 large green apple', '1/2 cup water', '1/4 cup raw cashews (or 1 banana and 1 1/2 cups frozen mango or pineapple, skip the maple)', '4 cups baby spinach leaves or chopped spinach, loosely packed', '10 ice cubes', '1 tablespoon pure maple syrup', '1 1/2 tablespoons fresh squeezed lemon juice (1/2 lemon)']",,"Chop the apple into chunks, leaving the peel on. Place everything in a blender and blend until smooth, stopping and scrapping as necessary. (If you’re using the fruit option, try adding the frozen fruit in 2 batches and blending between.)",en,False,,True,True
Oatmeal Smoothie,"['3/4 cup Old Fashioned rolled oats (or up to 1 cup)', '1 tablespoon peanut butter', '1/2 cup Greek yogurt', '1/2 cup milk (or omit yogurt and use 3/4 cup oat milk for vegan)', '1 1/2 ripe bananas (room temperature)', '1 cup frozen pineapple', '1/4 teaspoon vanilla extract', '1/4 to 1/2 teaspoon cinnamon', '1/8 teaspoon salt', '8 ice cubes', 'Maple syrup, to taste (optional)']",,"Add the ingredients to a blender, breaking the banana into pieces. Blend until creamy and frothy, stopping and scraping down the sides as necessary.
Taste: depending on the ripeness of the bananas, you may want to add a drizzle of maple syrup. Eat immediately or store 1 day in a sealed jar; if it separates, shake to re-integrate it.",en,False,,False,True
How to Make Pour Over Coffee,"['34 grams light roast or medium roast coffee beans*', '520 grams filtered water (the flavor is best with filtered water**)']",,"Heat a pot of filtered water to 200 to 205F. We use an electric kettle that shows us the exact temperature. You could also use a teapot on the stove — just heat to boiling, then let the water cool down for a few minutes.
Use a food scale to weigh out 34 grams of coffee, then grind it to a medium coarse grind (about the size of kosher or sea salt). We use an electric burr grinder to get a consistent grind.
When the water is heated, place the filter in your Chemex (see the video below for exact instructions). Pour in just a bit of water to wet the filter, then pour out the water into the sink. Place the ground coffee into the Chemex and shake it to level it out.
Place the Chemex on the food scale and tare it so the scale reads 0. Slowly pour in 70 grams of water in a circular motion. Then stop and wait for 1 minute: this allows the coffee to bloom (you may have to tap your scale once so that it doesn’t time out!).
Then slowly add the remaining 520 grams water in two batches, pouring very slowly in concentric circles, pouring right onto the coffee and not touching the coffee filter. Fill to about 1/2 inch from the top (it will likely be around 400 grams water), wait for the water level to go down a bit, and then fill the remaining water up to 520 grams.
After a few minutes, all of the water will filter through the coffee grounds into the pot below. Remove the filter and discard it (we compost ours). Enjoy!",en,True,,True,True
Perfect Chai Latte,"['1 teaspoon Homemade Chai Spices', '1 cup water', '1 bag black tea (or 1 teaspoon loose leaf black tea in a tea strainer)', '1/2 cup fresh 2% milk (or whole milk)*', '1 tablespoon pure maple syrup (or simple syrup)']",,"In a small saucepan over medium high heat, whisk together chai spices, water and tea bag and bring to a boil. Once boiling, remove it from the heat and allow it to rest for 1 minute. Then strain through a fine mesh strainer** into one or two mugs (one for a large latte and two for small).
Rinse the saucepan. Add the milk and maple syrup. Heat the milk to 150 degrees Fahrenheit (measure using a thermometer): this is hot with some small bubbles forming around the outside, but not simmering. The exact temperature is helpful for getting the perfect foam (if you don’t have a thermometer you can approximate).
Use hand frother, whisk, or french press to foam the milk. (The french press is our favorite method: Add the scalding milk to the french press and pump vigorously until frothy, about 100 times for 2% milk or approximately 1 minute; use 50 times for whole milk.) Rest the foam for about 30 seconds, which allows it to set. Go to How to Froth Milk if it’s your first time frothing.
Pour the milk and foam evenly between the mugs (or into 1 mug). Sprinkle with additional chai spices and serve.",en,True,,False,True
Easy Iced Tea Recipe,"['8 cups water, divided', '6 black tea bags', 'Sweet tea variation: 1/3 cup sugar (optional)']",,"In a saucepan, heat 4 cups water to a simmer. Turn off the heat and add the tea bags. Allow to steep for 5 minutes.
Remove the tea bags (and stir in the sugar until dissolved, if making sweet tea). Add the remaining 4 cups cold water to the pan. Cool until room temperature, about 10 minutes.
Transfer to a pitcher. Refrigerate at least 2 hours before drinking. Store up to 4 days.",en,True,,True,True
Virgin Margarita & More Easy Mocktail Recipes,"['1 ounce (2 tablespoons) fresh lime juice', '1/2 ounce (1 tablespoon) fresh lemon juice', '1/4 teaspoon maple syrup or simple syrup', '1/8 teaspoon pickle juice (optional but recommended!)', '3 ounces tonic water', 'For the garnish: Lime wheel, clear ice']",,"Cut a notch in a lime wedge, then run the lime around the rim of a glass. Dip the edge of the rim into a plate of flaky sea salt (or for a festive look, use Margarita Salt).
In the serving glass, stir together the lime juice, lemon juice, maple syrup, and pickle juice (adds just the right funky flavor to mimic tequila). Add the tonic water and ice. Garnish with a lime wheel and serve.",en,False,,False,False
The Arnold Palmer,"['3 ounces (6 tablespoons) lemonade or fresh lemon juice and simple syrup (see below)', '9 ounces (~1 cup) unsweetened iced tea*', 'Ice, for serving (try clear ice)', 'For the garnish: Mint sprig, lemon wedges']",,"If making homemade lemonade, stir together 1/2 ounce fresh lemon juice, 2 ounces water, and 1/2 ounce simple syrup in the highball glass.
Add the lemonade to ice-filled highball glass. Pour iced tea on top and stir to combine. If desired, garnish with fresh mint.
Pitcher (6 to 8 servings)
Combine 6 cups unsweetened iced tea and 2 cups lemonade in a pitcher. Garnish with lemon slices and mint.",en,False,,True,True
